train_id,stop_order,station_id,arrival,departure
SH_1,1,KYOTO,,07:00
SH_1,2,SHIN_OSAKA,07:28,07:30
SH_1,3,OSAKA,07:33,07:34
SH_1,4,SANNOMIYA,07:55,07:56
SH_1,5,HIMEJI,08:30,08:31
SH_1,6,KAMIGORI,08:58,08:59
SH_1,7,CHIZU,09:40,09:41
SH_1,8,TOTTORI,10:15,10:17
SH_1,9,KURAYOSHI,10:45,
SH_3,1,KYOTO,,10:00
SH_3,2,SHIN_OSAKA,10:28,10:30
SH_3,3,OSAKA,10:33,10:34
SH_3,4,SANNOMIYA,10:55,10:56
SH_3,5,HIMEJI,11:30,11:31
SH_3,6,KAMIGORI,11:58,11:59
SH_3,7,CHIZU,12:40,12:41
SH_3,8,TOTTORI,13:15,13:17
SH_3,9,KURAYOSHI,13:45,
SH_5,1,KYOTO,,13:00
SH_5,2,SHIN_OSAKA,13:28,13:30
SH_5,3,OSAKA,13:33,13:34
SH_5,4,SANNOMIYA,13:55,13:56
SH_5,5,HIMEJI,14:30,14:31
SH_5,6,KAMIGORI,14:58,14:59
SH_5,7,CHIZU,15:40,15:41
SH_5,8,TOTTORI,16:15,16:17
SH_5,9,KURAYOSHI,16:45,
SH_7,1,KYOTO,,15:00
SH_7,2,SHIN_OSAKA,15:28,15:30
SH_7,3,OSAKA,15:33,15:34
SH_7,4,SANNOMIYA,15:55,15:56
SH_7,5,HIMEJI,16:30,16:31
SH_7,6,KAMIGORI,16:58,16:59
SH_7,7,CHIZU,17:40,17:41
SH_7,8,TOTTORI,18:15,18:17
SH_7,9,KURAYOSHI,18:45,
SH_9,1,KYOTO,,18:00
SH_9,2,SHIN_OSAKA,18:28,18:30
SH_9,3,OSAKA,18:33,18:34
SH_9,4,SANNOMIYA,18:55,18:56
SH_9,5,HIMEJI,19:30,19:31
SH_9,6,KAMIGORI,19:58,19:59
SH_9,7,CHIZU,20:40,20:41
SH_9,8,TOTTORI,21:15,21:17
SH_9,9,KURAYOSHI,21:45,
SH_2,1,KURAYOSHI,,06:00
SH_2,2,TOTTORI,06:28,06:30
SH_2,3,CHIZU,07:04,07:05
SH_2,4,KAMIGORI,07:46,07:47
SH_2,5,HIMEJI,08:14,08:15
SH_2,6,SANNOMIYA,08:49,08:50
SH_2,7,OSAKA,09:11,09:12
SH_2,8,SHIN_OSAKA,09:16,09:17
SH_2,9,KYOTO,09:45,
SH_4,1,KURAYOSHI,,09:00
SH_4,2,TOTTORI,09:28,09:30
SH_4,3,CHIZU,10:04,10:05
SH_4,4,KAMIGORI,10:46,10:47
SH_4,5,HIMEJI,11:14,11:15
SH_4,6,SANNOMIYA,11:49,11:50
SH_4,7,OSAKA,12:11,12:12
SH_4,8,SHIN_OSAKA,12:16,12:17
SH_4,9,KYOTO,12:45,
SH_6,1,KURAYOSHI,,12:00
SH_6,2,TOTTORI,12:28,12:30
SH_6,3,CHIZU,13:04,13:05
SH_6,4,KAMIGORI,13:46,13:47
SH_6,5,HIMEJI,14:14,14:15
SH_6,6,SANNOMIYA,14:49,14:50
SH_6,7,OSAKA,15:11,15:12
SH_6,8,SHIN_OSAKA,15:16,15:17
SH_6,9,KYOTO,15:45,
SH_8,1,KURAYOSHI,,14:00
SH_8,2,TOTTORI,14:28,14:30
SH_8,3,CHIZU,15:04,15:05
SH_8,4,KAMIGORI,15:46,15:47
SH_8,5,HIMEJI,16:14,16:15
SH_8,6,SANNOMIYA,16:49,16:50
SH_8,7,OSAKA,17:11,17:12
SH_8,8,SHIN_OSAKA,17:16,17:17
SH_8,9,KYOTO,17:45,
SH_10,1,KURAYOSHI,,17:00
SH_10,2,TOTTORI,17:28,17:30
SH_10,3,CHIZU,18:04,18:05
SH_10,4,KAMIGORI,18:46,18:47
SH_10,5,HIMEJI,19:14,19:15
SH_10,6,SANNOMIYA,19:49,19:50
SH_10,7,OSAKA,20:11,20:12
SH_10,8,SHIN_OSAKA,20:16,20:17
SH_10,9,KYOTO,20:45,
