train_id,stop_order,station_id,arrival,departure
THUNDERBIRD_1,1,OSAKA,,06:00
THUNDERBIRD_1,2,SHIN_OSAKA,06:04,06:05
THUNDERBIRD_1,3,KYOTO,06:26,06:27
THUNDERBIRD_1,4,TSURUGA,07:17,
THUNDERBIRD_3,1,OSAKA,,06:42
THUNDERBIRD_3,2,SHIN_OSAKA,06:46,06:47
THUNDERBIRD_3,3,KYOTO,07:08,07:09
THUNDERBIRD_3,4,TSURUGA,07:59,
THUNDERBIRD_5,1,OSAKA,,07:12
THUNDERBIRD_5,2,SHIN_OSAKA,07:16,07:17
THUNDERBIRD_5,3,KYOTO,07:38,07:39
THUNDERBIRD_5,4,TSURUGA,08:29,
THUNDERBIRD_7,1,OSAKA,,07:42
THUNDERBIRD_7,2,SHIN_OSAKA,07:46,07:47
THUNDERBIRD_7,3,KYOTO,08:08,08:09
THUNDERBIRD_7,4,TSURUGA,08:59,
THUNDERBIRD_9,1,OSAKA,,08:12
THUNDERBIRD_9,2,SHIN_OSAKA,08:16,08:17
THUNDERBIRD_9,3,KYOTO,08:38,08:39
THUNDERBIRD_9,4,TSURUGA,09:29,
THUNDERBIRD_11,1,OSAKA,,08:42
THUNDERBIRD_11,2,SHIN_OSAKA,08:46,08:47
THUNDERBIRD_11,3,KYOTO,09:08,09:09
THUNDERBIRD_11,4,TSURUGA,09:59,
THUNDERBIRD_13,1,OSAKA,,09:42
THUNDERBIRD_13,2,SHIN_OSAKA,09:46,09:47
THUNDERBIRD_13,3,KYOTO,10:08,10:09
THUNDERBIRD_13,4,TSURUGA,10:59,
THUNDERBIRD_15,1,OSAKA,,10:42
THUNDERBIRD_15,2,SHIN_OSAKA,10:46,10:47
THUNDERBIRD_15,3,KYOTO,11:08,11:09
THUNDERBIRD_15,4,TSURUGA,11:59,
THUNDERBIRD_17,1,OSAKA,,11:42
THUNDERBIRD_17,2,SHIN_OSAKA,11:46,11:47
THUNDERBIRD_17,3,KYOTO,12:08,12:09
THUNDERBIRD_17,4,TSURUGA,12:59,
THUNDERBIRD_19,1,OSAKA,,12:42
THUNDERBIRD_19,2,SHIN_OSAKA,12:46,12:47
THUNDERBIRD_19,3,KYOTO,13:08,13:09
THUNDERBIRD_19,4,TSURUGA,13:59,
THUNDERBIRD_21,1,OSAKA,,13:42
THUNDERBIRD_21,2,SHIN_OSAKA,13:46,13:47
