train_id,name,direction
THUNDERBIRD_1,サンダーバード1,down
THUNDERBIRD_3,サンダーバード3,down
THUNDERBIRD_5,サンダーバード5,down
THUNDERBIRD_7,サンダーバード7,down
THUNDERBIRD_9,サンダーバード9,down
THUNDERBIRD_11,サンダーバード11,down
THUNDERBIRD_13,サンダーバード13,down
THUNDERBIRD_15,サンダーバード15,down
THUNDERBIRD_17,サンダーバード17,down
THUNDERBIRD_19,サンダーバード19,down
THUNDERBIRD_21,サンダーバード21,down
THUNDERBIRD_23,サンダーバード23,down
THUNDERBIRD_25,サンダーバード25,down
THUNDERBIRD_27,サンダーバード27,down
THUNDERBIRD_29,サンダーバード29,down
THUNDERBIRD_31,サンダーバード31,down
THUNDERBIRD_33,サンダーバード33,down
THUNDERBIRD_35,サンダーバード35,down
THUNDERBIRD_37,サンダーバード37,down
THUNDERBIRD_39,サンダーバード39,down
THUNDERBIRD_41,サンダーバード41,down
THUNDERBIRD_43,サンダーバード43,down
THUNDERBIRD_45,サンダーバード45,down
THUNDERBIRD_2,サンダーバード2,up
THUNDERBIRD_4,サンダーバード4,up
THUNDERBIRD_6,サンダーバード6,up
THUNDERBIRD_8,サンダーバード8,up
THUNDERBIRD_10,サンダーバード10,up
THUNDERBIRD_12,サンダーバード12,up
THUNDERBIRD_14,サンダーバード14,up
THUNDERBIRD_16,サンダーバード16,up
THUNDERBIRD_18,サンダーバード18,up
THUNDERBIRD_20,サンダーバード20,up
THUNDERBIRD_22,サンダーバード22,up
THUNDERBIRD_24,サンダーバード24,up
THUNDERBIRD_26,サンダーバード26,up
THUNDERBIRD_28,サンダーバード28,up
THUNDERBIRD_30,サンダーバード30,up
THUNDERBIRD_32,サンダーバード32,up
THUNDERBIRD_34,サンダーバード34,up
THUNDERBIRD_36,サンダーバード36,up
THUNDERBIRD_38,サンダーバード38,up
THUNDERBIRD_40,サンダーバード40,up
