train_id,stop_order,station_id,arrival,departure
TB_1,1,OSAKA,,06:42
TB_1,2,SHIN_OSAKA,06:46,06:47
TB_1,3,KYOTO,07:12,07:13
TB_1,4,TSURUGA,08:02,
TB_3,1,OSAKA,,07:42
TB_3,2,SHIN_OSAKA,07:46,07:47
TB_3,3,KYOTO,08:12,08:13
TB_3,4,TSURUGA,09:02,
TB_5,1,OSAKA,,08:42
TB_5,2,SHIN_OSAKA,08:46,08:47
TB_5,3,KYOTO,09:12,09:13
TB_5,4,TSURUGA,10:02,
TB_7,1,OSAKA,,09:42
TB_7,2,SHIN_OSAKA,09:46,09:47
TB_7,3,KYOTO,10:12,10:13
TB_7,4,TSURUGA,11:02,
TB_9,1,OSAKA,,10:42
TB_9,2,SHIN_OSAKA,10:46,10:47
TB_9,3,KYOTO,11:12,11:13
TB_9,4,TSURUGA,12:02,
TB_11,1,OSAKA,,11:42
TB_11,2,SHIN_OSAKA,11:46,11:47
TB_11,3,KYOTO,12:12,12:13
TB_11,4,TSURUGA,13:02,
TB_13,1,OSAKA,,12:42
TB_13,2,SHIN_OSAKA,12:46,12:47
TB_13,3,KYOTO,13:12,13:13
TB_13,4,TSURUGA,14:02,
TB_15,1,OSAKA,,13:42
TB_15,2,SHIN_OSAKA,13:46,13:47
TB_15,3,KYOTO,14:12,14:13
TB_15,4,TSURUGA,15:02,
TB_17,1,OSAKA,,14:42
TB_17,2,SHIN_OSAKA,14:46,14:47
TB_17,3,KYOTO,15:12,15:13
TB_17,4,TSURUGA,16:02,
TB_19,1,OSAKA,,15:42
TB_19,2,SHIN_OSAKA,15:46,15:47
TB_19,3,KYOTO,16:12,16:13
TB_19,4,TSURUGA,17:02,
TB_21,1,OSAKA,,16:42
TB_21,2,SHIN_OSAKA,16:46,16:47
TB_21,3,KYOTO,17:12,17:13
TB_21,4,TSURUGA,18:02,
TB_23,1,OSAKA,,17:42
TB_23,2,SHIN_OSAKA,17:46,17:47
TB_23,3,KYOTO,18:12,18:13
TB_23,4,TSURUGA,19:02,
TB_25,1,OSAKA,,18:42
TB_25,2,SHIN_OSAKA,18:46,18:47
TB_25,3,KYOTO,19:12,19:13
TB_25,4,TSURUGA,20:02,
TB_27,1,OSAKA,,19:42
TB_27,2,SHIN_OSAKA,19:46,19:47
TB_27,3,KYOTO,20:12,20:13
TB_27,4,TSURUGA,21:02,
TB_29,1,OSAKA,,20:42
TB_29,2,SHIN_OSAKA,20:46,20:47
TB_29,3,KYOTO,21:12,21:13
TB_29,4,TSURUGA,22:02,
TB_31,1,OSAKA,,21:42
TB_31,2,SHIN_OSAKA,21:46,21:47
TB_31,3,KYOTO,22:12,22:13
TB_31,4,TSURUGA,23:02,
TB_2,1,TSURUGA,,06:55
TB_2,2,KYOTO,07:44,07:45
TB_2,3,SHIN_OSAKA,08:10,08:11
TB_2,4,OSAKA,08:15,
TB_4,1,TSURUGA,,07:55
TB_4,2,KYOTO,08:44,08:45
TB_4,3,SHIN_OSAKA,09:10,09:11
TB_4,4,OSAKA,09:15,
TB_6,1,TSURUGA,,08:55
TB_6,2,KYOTO,09:44,09:45
TB_6,3,SHIN_OSAKA,10:10,10:11
TB_6,4,OSAKA,10:15,
TB_8,1,TSURUGA,,09:55
TB_8,2,KYOTO,10:44,10:45
TB_8,3,SHIN_OSAKA,11:10,11:11
TB_8,4,OSAKA,11:15,
TB_10,1,TSURUGA,,10:55
TB_10,2,KYOTO,11:44,11:45
TB_10,3,SHIN_OSAKA,12:10,12:11
TB_10,4,OSAKA,12:15,
TB_12,1,TSURUGA,,11:55
TB_12,2,KYOTO,12:44,12:45
TB_12,3,SHIN_OSAKA,13:10,13:11
TB_12,4,OSAKA,13:15,
TB_14,1,TSURUGA,,12:55
TB_14,2,KYOTO,13:44,13:45
TB_14,3,SHIN_OSAKA,14:10,14:11
TB_14,4,OSAKA,14:15,
TB_16,1,TSURUGA,,13:55
TB_16,2,KYOTO,14:44,14:45
TB_16,3,SHIN_OSAKA,15:10,15:11
TB_16,4,OSAKA,15:15,
TB_18,1,TSURUGA,,14:55
TB_18,2,KYOTO,15:44,15:45
TB_18,3,SHIN_OSAKA,16:10,16:11
TB_18,4,OSAKA,16:15,
TB_20,1,TSURUGA,,15:55
TB_20,2,KYOTO,16:44,16:45
TB_20,3,SHIN_OSAKA,17:10,17:11
TB_20,4,OSAKA,17:15,
TB_22,1,TSURUGA,,16:55
TB_22,2,KYOTO,17:44,17:45
TB_22,3,SHIN_OSAKA,18:10,18:11
TB_22,4,OSAKA,18:15,
TB_24,1,TSURUGA,,17:55
TB_24,2,KYOTO,18:44,18:45
TB_24,3,SHIN_OSAKA,19:10,19:11
TB_24,4,OSAKA,19:15,
TB_26,1,TSURUGA,,18:55
TB_26,2,KYOTO,19:44,19:45
TB_26,3,SHIN_OSAKA,20:10,20:11
TB_26,4,OSAKA,20:15,
TB_28,1,TSURUGA,,19:55
TB_28,2,KYOTO,20:44,20:45
TB_28,3,SHIN_OSAKA,21:10,21:11
TB_28,4,OSAKA,21:15,
TB_30,1,TSURUGA,,20:55
TB_30,2,KYOTO,21:44,21:45
TB_30,3,SHIN_OSAKA,22:10,22:11
TB_30,4,OSAKA,22:15,
TB_32,1,TSURUGA,,21:55
TB_32,2,KYOTO,22:44,22:45
TB_32,3,SHIN_OSAKA,23:10,23:11
TB_32,4,OSAKA,23:15,
