train_id,name,direction
HAYABUSA_1,はやぶさ1号,down
HAYABUSA_3,はやぶさ3号,down
HAYABUSA_5,はやぶさ5号,down
HAYABUSA_7,はやぶさ7号,down
HAYABUSA_9,はやぶさ9号,down
HAYABUSA_11,はやぶさ11号,down
HAYABUSA_13,はやぶさ13号,down
HAYABUSA_15,はやぶさ15号,down
HAYABUSA_17,はやぶさ17号,down
HAYABUSA_19,はやぶさ19号,down
HAYABUSA_21,はやぶさ21号,down
HAYABUSA_23,はやぶさ23号,down
HAYABUSA_25,はやぶさ25号,down
HAYABUSA_27,はやぶさ27号,down
HAYABUSA_29,はやぶさ29号,down
HAYABUSA_31,はやぶさ31号,down
HAYABUSA_33,はやぶさ33号,down
HAYABUSA_35,はやぶさ35号,down
HAYABUSA_37,はやぶさ37号,down
HAYABUSA_39,はやぶさ39号,down
HAYABUSA_41,はやぶさ41号,down
HAYABUSA_43,はやぶさ43号,down
HAYABUSA_45,はやぶさ45号,down
HAYABUSA_47,はやぶさ47号,down
HAYABUSA_49,はやぶさ49号,down
HAYABUSA_51,はやぶさ51号,down
HAYABUSA_53,はやぶさ53号,down
HAYABUSA_55,はやぶさ55号,down
HAYABUSA_57,はやぶさ57号,down
HAYABUSA_2,はやぶさ2号,up
HAYABUSA_4,はやぶさ4号,up
HAYABUSA_6,はやぶさ6号,up
HAYABUSA_8,はやぶさ8号,up
HAYABUSA_10,はやぶさ10号,up
HAYABUSA_12,はやぶさ12号,up
HAYABUSA_14,はやぶさ14号,up
HAYABUSA_16,はやぶさ16号,up
HAYABUSA_18,はやぶさ18号,up
HAYABUSA_20,はやぶさ20号,up
HAYABUSA_22,はやぶさ22号,up
HAYABUSA_24,はやぶさ24号,up
HAYABUSA_26,はやぶさ26号,up
HAYABUSA_28,はやぶさ28号,up
HAYABUSA_30,はやぶさ30号,up
HAYABUSA_32,はやぶさ32号,up
HAYABUSA_34,はやぶさ34号,up
HAYABUSA_36,はやぶさ36号,up
HAYABUSA_38,はやぶさ38号,up
HAYABUSA_40,はやぶさ40号,up
HAYABUSA_42,はやぶさ42号,up
HAYABUSA_44,はやぶさ44号,up
HAYABUSA_46,はやぶさ46号,up
HAYABUSA_48,はやぶさ48号,up
HAYABUSA_50,はやぶさ50号,up
HAYABUSA_52,はやぶさ52号,up
YAMABIKO_M_51,やまびこ51号,down
YAMABIKO_M_53,やまびこ53号,down
YAMABIKO_M_55,やまびこ55号,down
YAMABIKO_M_57,やまびこ57号,down
YAMABIKO_M_59,やまびこ59号,down
YAMABIKO_M_61,やまびこ61号,down
YAMABIKO_M_52,やまびこ52号,up
YAMABIKO_M_54,やまびこ54号,up
YAMABIKO_M_56,やまびこ56号,up
YAMABIKO_M_58,やまびこ58号,up
YAMABIKO_M_60,やまびこ60号,up
