train_id,stop_order,station_id,arrival,departure
TOHOKU_1,1,TOKYO,,06:00
TOHOKU_1,2,UENO,06:05,06:06
TOHOKU_1,3,OMIYA,06:25,06:26
TOHOKU_1,4,SENDAI,07:35,07:36
TOHOKU_1,5,MORIOKA,08:15,08:16
TOHOKU_1,6,SHIN_AOMORI,09:05,
TOHOKU_3,1,TOKYO,,06:30
TOHOKU_3,2,UENO,06:35,06:36
TOHOKU_3,3,OMIYA,06:55,06:56
TOHOKU_3,4,SENDAI,08:05,08:06
TOHOKU_3,5,MORIOKA,08:45,08:46
TOHOKU_3,6,SHIN_AOMORI,09:35,
TOHOKU_5,1,TOKYO,,07:00
TOHOKU_5,2,UENO,07:05,07:06
TOHOKU_5,3,OMIYA,07:25,07:26
TOHOKU_5,4,SENDAI,08:35,08:36
TOHOKU_5,5,MORIOKA,09:15,09:16
TOHOKU_5,6,SHIN_AOMORI,10:05,
TOHOKU_7,1,TOKYO,,07:30
TOHOKU_7,2,UENO,07:35,07:36
TOHOKU_7,3,OMIYA,07:55,07:56
TOHOKU_7,4,SENDAI,09:05,09:06
TOHOKU_7,5,MORIOKA,09:45,09:46
TOHOKU_7,6,SHIN_AOMORI,10:35,
TOHOKU_9,1,TOKYO,,08:00
TOHOKU_9,2,UENO,08:05,08:06
TOHOKU_9,3,OMIYA,08:25,08:26
TOHOKU_9,4,SENDAI,09:35,09:36
TOHOKU_9,5,MORIOKA,10:15,10:16
TOHOKU_9,6,SHIN_AOMORI,11:05,
TOHOKU_11,1,TOKYO,,08:30
TOHOKU_11,2,UENO,08:35,08:36
TOHOKU_11,3,OMIYA,08:55,08:56
TOHOKU_11,4,SENDAI,10:05,10:06
TOHOKU_11,5,MORIOKA,10:45,10:46
TOHOKU_11,6,SHIN_AOMORI,11:35,
TOHOKU_13,1,TOKYO,,09:00
TOHOKU_13,2,UENO,09:05,09:06
TOHOKU_13,3,OMIYA,09:25,09:26
TOHOKU_13,4,SENDAI,10:35,10:36
TOHOKU_13,5,MORIOKA,11:15,11:16
TOHOKU_13,6,SHIN_AOMORI,12:05,
TOHOKU_15,1,TOKYO,,09:30
TOHOKU_15,2,UENO,09:35,09:36
TOHOKU_15,3,OMIYA,09:55,09:56
TOHOKU_15,4,SENDAI,11:05,11:06
TOHOKU_15,5,MORIOKA,11:45,11:46
TOHOKU_15,6,SHIN_AOMORI,12:35,
TOHOKU_17,1,TOKYO,,10:00
TOHOKU_17,2,UENO,10:05,10:06
TOHOKU_17,3,OMIYA,10:25,10:26
TOHOKU_17,4,SENDAI,11:35,11:36
TOHOKU_17,5,MORIOKA,12:15,12:16
TOHOKU_17,6,SHIN_AOMORI,13:05,
TOHOKU_19,1,TOKYO,,10:30
TOHOKU_19,2,UENO,10:35,10:36
TOHOKU_19,3,OMIYA,10:55,10:56
TOHOKU_19,4,SENDAI,12:05,12:06
TOHOKU_19,5,MORIOKA,12:45,12:46
TOHOKU_19,6,SHIN_AOMORI,13:35,
TOHOKU_21,1,TOKYO,,11:00
TOHOKU_21,2,UENO,11:05,11:06
TOHOKU_21,3,OMIYA,11:25,11:26
TOHOKU_21,4,SENDAI,12:35,12:36
TOHOKU_21,5,MORIOKA,13:15,13:16
TOHOKU_21,6,SHIN_AOMORI,14:05,
TOHOKU_23,1,TOKYO,,11:30
TOHOKU_23,2,UENO,11:35,11:36
TOHOKU_23,3,OMIYA,11:55,11:56
TOHOKU_23,4,SENDAI,13:05,13:06
TOHOKU_23,5,MORIOKA,13:45,13:46
TOHOKU_23,6,SHIN_AOMORI,14:35,
TOHOKU_25,1,TOKYO,,12:00
TOHOKU_25,2,UENO,12:05,12:06
TOHOKU_25,3,OMIYA,12:25,12:26
TOHOKU_25,4,SENDAI,13:35,13:36
TOHOKU_25,5,MORIOKA,14:15,14:16
TOHOKU_25,6,SHIN_AOMORI,15:05,
TOHOKU_27,1,TOKYO,,12:30
TOHOKU_27,2,UENO,12:35,12:36
TOHOKU_27,3,OMIYA,12:55,12:56
TOHOKU_27,4,SENDAI,14:05,14:06
TOHOKU_27,5,MORIOKA,14:45,14:46
TOHOKU_27,6,SHIN_AOMORI,15:35,
TOHOKU_29,1,TOKYO,,13:00
TOHOKU_29,2,UENO,13:05,13:06
TOHOKU_29,3,OMIYA,13:25,13:26
TOHOKU_29,4,SENDAI,14:35,14:36
TOHOKU_29,5,MORIOKA,15:15,15:16
TOHOKU_29,6,SHIN_AOMORI,16:05,
TOHOKU_31,1,TOKYO,,13:30
TOHOKU_31,2,UENO,13:35,13:36
TOHOKU_31,3,OMIYA,13:55,13:56
TOHOKU_31,4,SENDAI,15:05,15:06
TOHOKU_31,5,MORIOKA,15:45,15:46
TOHOKU_31,6,SHIN_AOMORI,16:35,
TOHOKU_33,1,TOKYO,,14:00
TOHOKU_33,2,UENO,14:05,14:06
TOHOKU_33,3,OMIYA,14:25,14:26
TOHOKU_33,4,SENDAI,15:35,15:36
TOHOKU_33,5,MORIOKA,16:15,16:16
TOHOKU_33,6,SHIN_AOMORI,17:05,
TOHOKU_35,1,TOKYO,,14:30
TOHOKU_35,2,UENO,14:35,14:36
TOHOKU_35,3,OMIYA,14:55,14:56
TOHOKU_35,4,SENDAI,16:05,16:06
TOHOKU_35,5,MORIOKA,16:45,16:46
TOHOKU_35,6,SHIN_AOMORI,17:35,
TOHOKU_37,1,TOKYO,,15:00
TOHOKU_37,2,UENO,15:05,15:06
TOHOKU_37,3,OMIYA,15:25,15:26
TOHOKU_37,4,SENDAI,16:35,16:36
TOHOKU_37,5,MORIOKA,17:15,17:16
TOHOKU_37,6,SHIN_AOMORI,18:05,
TOHOKU_39,1,TOKYO,,15:30
TOHOKU_39,2,UENO,15:35,15:36
TOHOKU_39,3,OMIYA,15:55,15:56
TOHOKU_39,4,SENDAI,17:05,17:06
TOHOKU_39,5,MORIOKA,17:45,17:46
TOHOKU_39,6,SHIN_AOMORI,18:35,
TOHOKU_41,1,TOKYO,,16:00
TOHOKU_41,2,UENO,16:05,16:06
TOHOKU_41,3,OMIYA,16:25,16:26
TOHOKU_41,4,SENDAI,17:35,17:36
TOHOKU_41,5,MORIOKA,18:15,18:16
TOHOKU_41,6,SHIN_AOMORI,19:05,
TOHOKU_43,1,TOKYO,,16:30
TOHOKU_43,2,UENO,16:35,16:36
TOHOKU_43,3,OMIYA,16:55,16:56
TOHOKU_43,4,SENDAI,18:05,18:06
TOHOKU_43,5,MORIOKA,18:45,18:46
TOHOKU_43,6,SHIN_AOMORI,19:35,
TOHOKU_45,1,TOKYO,,17:00
TOHOKU_45,2,UENO,17:05,17:06
TOHOKU_45,3,OMIYA,17:25,17:26
TOHOKU_45,4,SENDAI,18:35,18:36
TOHOKU_45,5,MORIOKA,19:15,19:16
TOHOKU_45,6,SHIN_AOMORI,20:05,
TOHOKU_47,1,TOKYO,,17:30
TOHOKU_47,2,UENO,17:35,17:36
TOHOKU_47,3,OMIYA,17:55,17:56
TOHOKU_47,4,SENDAI,19:05,19:06
TOHOKU_47,5,MORIOKA,19:45,19:46
TOHOKU_47,6,SHIN_AOMORI,20:35,
TOHOKU_49,1,TOKYO,,18:00
TOHOKU_49,2,UENO,18:05,18:06
TOHOKU_49,3,OMIYA,18:25,18:26
TOHOKU_49,4,SENDAI,19:35,19:36
TOHOKU_49,5,MORIOKA,20:15,20:16
TOHOKU_49,6,SHIN_AOMORI,21:05,
TOHOKU_51,1,TOKYO,,18:30
TOHOKU_51,2,UENO,18:35,18:36
TOHOKU_51,3,OMIYA,18:55,18:56
TOHOKU_51,4,SENDAI,20:05,20:06
TOHOKU_51,5,MORIOKA,20:45,20:46
TOHOKU_51,6,SHIN_AOMORI,21:35,
TOHOKU_53,1,TOKYO,,19:00
TOHOKU_53,2,UENO,19:05,19:06
TOHOKU_53,3,OMIYA,19:25,19:26
TOHOKU_53,4,SENDAI,20:35,20:36
TOHOKU_53,5,MORIOKA,21:15,21:16
TOHOKU_53,6,SHIN_AOMORI,22:05,
TOHOKU_55,1,TOKYO,,19:30
