train_id,name,direction
NOZOMI_1,のぞみ1号,down
NOZOMI_3,のぞみ3号,down
NOZOMI_5,のぞみ5号,down
NOZOMI_7,のぞみ7号,down
NOZOMI_9,のぞみ9号,down
NOZOMI_11,のぞみ11号,down
NOZOMI_13,のぞみ13号,down
NOZOMI_15,のぞみ15号,down
NOZOMI_17,のぞみ17号,down
NOZOMI_19,のぞみ19号,down
NOZOMI_21,のぞみ21号,down
NOZOMI_23,のぞみ23号,down
NOZOMI_25,のぞみ25号,down
NOZOMI_27,のぞみ27号,down
NOZOMI_29,のぞみ29号,down
NOZOMI_31,のぞみ31号,down
NOZOMI_33,のぞみ33号,down
NOZOMI_35,のぞみ35号,down
NOZOMI_37,のぞみ37号,down
NOZOMI_39,のぞみ39号,down
NOZOMI_41,のぞみ41号,down
NOZOMI_43,のぞみ43号,down
NOZOMI_45,のぞみ45号,down
NOZOMI_47,のぞみ47号,down
NOZOMI_49,のぞみ49号,down
NOZOMI_51,のぞみ51号,down
NOZOMI_53,のぞみ53号,down
NOZOMI_55,のぞみ55号,down
NOZOMI_57,のぞみ57号,down
NOZOMI_59,のぞみ59号,down
NOZOMI_61,のぞみ61号,down
NOZOMI_2,のぞみ2号,up
NOZOMI_4,のぞみ4号,up
NOZOMI_6,のぞみ6号,up
NOZOMI_8,のぞみ8号,up
NOZOMI_10,のぞみ10号,up
NOZOMI_12,のぞみ12号,up
NOZOMI_14,のぞみ14号,up
NOZOMI_16,のぞみ16号,up
NOZOMI_18,のぞみ18号,up
NOZOMI_20,のぞみ20号,up
NOZOMI_22,のぞみ22号,up
NOZOMI_24,のぞみ24号,up
NOZOMI_26,のぞみ26号,up
NOZOMI_28,のぞみ28号,up
NOZOMI_30,のぞみ30号,up
NOZOMI_32,のぞみ32号,up
NOZOMI_34,のぞみ34号,up
NOZOMI_36,のぞみ36号,up
NOZOMI_38,のぞみ38号,up
NOZOMI_40,のぞみ40号,up
NOZOMI_42,のぞみ42号,up
NOZOMI_44,のぞみ44号,up
NOZOMI_46,のぞみ46号,up
NOZOMI_48,のぞみ48号,up
NOZOMI_50,のぞみ50号,up
NOZOMI_52,のぞみ52号,up
NOZOMI_54,のぞみ54号,up
NOZOMI_56,のぞみ56号,up
NOZOMI_58,のぞみ58号,up
NOZOMI_60,のぞみ60号,up
NOZOMI_62,のぞみ62号,up
