train_id,stop_order,station_id,arrival,departure
NOZOMI_1,1,TOKYO,,06:00
NOZOMI_1,2,SHINAGAWA,06:07,06:08
NOZOMI_1,3,SHIN_YOKOHAMA,06:18,06:19
NOZOMI_1,4,NAGOYA,07:36,07:37
NOZOMI_1,5,KYOTO,08:10,08:11
NOZOMI_1,6,SHIN_OSAKA,08:24,
NOZOMI_3,1,TOKYO,,06:21
NOZOMI_3,2,SHINAGAWA,06:28,06:29
NOZOMI_3,3,SHIN_YOKOHAMA,06:39,06:40
NOZOMI_3,4,NAGOYA,07:57,07:58
NOZOMI_3,5,KYOTO,08:31,08:32
NOZOMI_3,6,SHIN_OSAKA,08:45,
NOZOMI_5,1,TOKYO,,06:33
NOZOMI_5,2,SHINAGAWA,06:40,06:41
NOZOMI_5,3,SHIN_YOKOHAMA,06:51,06:52
NOZOMI_5,4,NAGOYA,08:09,08:10
NOZOMI_5,5,KYOTO,08:43,08:44
NOZOMI_5,6,SHIN_OSAKA,08:57,
NOZOMI_7,1,TOKYO,,06:50
NOZOMI_7,2,SHINAGAWA,06:57,06:58
NOZOMI_7,3,SHIN_YOKOHAMA,07:08,07:09
NOZOMI_7,4,NAGOYA,08:26,08:27
NOZOMI_7,5,KYOTO,09:00,09:01
NOZOMI_7,6,SHIN_OSAKA,09:14,
NOZOMI_9,1,TOKYO,,06:57
NOZOMI_9,2,SHINAGAWA,07:04,07:05
NOZOMI_9,3,SHIN_YOKOHAMA,07:15,07:16
NOZOMI_9,4,NAGOYA,08:33,08:34
NOZOMI_9,5,KYOTO,09:07,09:08
NOZOMI_9,6,SHIN_OSAKA,09:21,
NOZOMI_11,1,TOKYO,,07:00
NOZOMI_11,2,SHINAGAWA,07:07,07:08
NOZOMI_11,3,SHIN_YOKOHAMA,07:18,07:19
NOZOMI_11,4,NAGOYA,08:36,08:37
NOZOMI_11,5,KYOTO,09:10,09:11
NOZOMI_11,6,SHIN_OSAKA,09:24,
NOZOMI_13,1,TOKYO,,07:03
NOZOMI_13,2,SHINAGAWA,07:10,07:11
NOZOMI_13,3,SHIN_YOKOHAMA,07:21,07:22
NOZOMI_13,4,NAGOYA,08:39,08:40
NOZOMI_13,5,KYOTO,09:13,09:14
NOZOMI_13,6,SHIN_OSAKA,09:27,
NOZOMI_15,1,TOKYO,,07:09
NOZOMI_15,2,SHINAGAWA,07:16,07:17
NOZOMI_15,3,SHIN_YOKOHAMA,07:27,07:28
NOZOMI_15,4,NAGOYA,08:45,08:46
NOZOMI_15,5,KYOTO,09:19,09:20
NOZOMI_15,6,SHIN_OSAKA,09:33,
NOZOMI_17,1,TOKYO,,07:21
NOZOMI_17,2,SHINAGAWA,07:28,07:29
NOZOMI_17,3,SHIN_YOKOHAMA,07:39,07:40
NOZOMI_17,4,NAGOYA,08:57,08:58
NOZOMI_17,5,KYOTO,09:31,09:32
NOZOMI_17,6,SHIN_OSAKA,09:45,
NOZOMI_19,1,TOKYO,,07:30
NOZOMI_19,2,SHINAGAWA,07:37,07:38
NOZOMI_19,3,SHIN_YOKOHAMA,07:48,07:49
NOZOMI_19,4,NAGOYA,09:06,09:07
NOZOMI_19,5,KYOTO,09:40,09:41
NOZOMI_19,6,SHIN_OSAKA,09:54,
NOZOMI_21,1,TOKYO,,07:33
NOZOMI_21,2,SHINAGAWA,07:40,07:41
NOZOMI_21,3,SHIN_YOKOHAMA,07:51,07:52
NOZOMI_21,4,NAGOYA,09:09,09:10
NOZOMI_21,5,KYOTO,09:43,09:44
NOZOMI_21,6,SHIN_OSAKA,09:57,
NOZOMI_23,1,TOKYO,,07:42
NOZOMI_23,2,SHINAGAWA,07:49,07:50
NOZOMI_23,3,SHIN_YOKOHAMA,08:00,08:01
NOZOMI_23,4,NAGOYA,09:18,09:19
NOZOMI_23,5,KYOTO,09:52,09:53
NOZOMI_23,6,SHIN_OSAKA,10:06,
NOZOMI_25,1,TOKYO,,07:48
NOZOMI_25,2,SHINAGAWA,07:55,07:56
NOZOMI_25,3,SHIN_YOKOHAMA,08:06,08:07
NOZOMI_25,4,NAGOYA,09:24,09:25
NOZOMI_25,5,KYOTO,09:58,09:59
NOZOMI_25,6,SHIN_OSAKA,10:12,
NOZOMI_27,1,TOKYO,,07:51
NOZOMI_27,2,SHINAGAWA,07:58,07:59
NOZOMI_27,3,SHIN_YOKOHAMA,08:09,08:10
NOZOMI_27,4,NAGOYA,09:27,09:28
NOZOMI_27,5,KYOTO,10:01,10:02
NOZOMI_27,6,SHIN_OSAKA,10:15,
NOZOMI_29,1,TOKYO,,07:57
NOZOMI_29,2,SHINAGAWA,08:04,08:05
NOZOMI_29,3,SHIN_YOKOHAMA,08:15,08:16
NOZOMI_29,4,NAGOYA,09:33,09:34
NOZOMI_29,5,KYOTO,10:07,10:08
NOZOMI_29,6,SHIN_OSAKA,10:21,
NOZOMI_31,1,TOKYO,,08:00
NOZOMI_31,2,SHINAGAWA,08:07,08:08
NOZOMI_31,3,SHIN_YOKOHAMA,08:18,08:19
NOZOMI_31,4,NAGOYA,09:36,09:37
NOZOMI_31,5,KYOTO,10:10,10:11
NOZOMI_31,6,SHIN_OSAKA,10:24,
NOZOMI_33,1,TOKYO,,08:09
NOZOMI_33,2,SHINAGAWA,08:16,08:17
NOZOMI_33,3,SHIN_YOKOHAMA,08:27,08:28
NOZOMI_33,4,NAGOYA,09:45,09:46
NOZOMI_33,5,KYOTO,10:19,10:20
NOZOMI_33,6,SHIN_OSAKA,10:33,
NOZOMI_35,1,TOKYO,,08:21
NOZOMI_35,2,SHINAGAWA,08:28,08:29
NOZOMI_35,3,SHIN_YOKOHAMA,08:39,08:40
NOZOMI_35,4,NAGOYA,09:57,09:58
NOZOMI_35,5,KYOTO,10:31,10:32
NOZOMI_35,6,SHIN_OSAKA,10:45,
NOZOMI_37,1,TOKYO,,08:30
NOZOMI_37,2,SHINAGAWA,08:37,08:38
NOZOMI_37,3,SHIN_YOKOHAMA,08:48,08:49
NOZOMI_37,4,NAGOYA,10:06,10:07
NOZOMI_37,5,KYOTO,10:40,10:41
NOZOMI_37,6,SHIN_OSAKA,10:54,
NOZOMI_39,1,TOKYO,,08:33
NOZOMI_39,2,SHINAGAWA,08:40,08:41
NOZOMI_39,3,SHIN_YOKOHAMA,08:51,08:52
NOZOMI_39,4,NAGOYA,10:09,10:10
NOZOMI_39,5,KYOTO,10:43,10:44
NOZOMI_39,6,SHIN_OSAKA,10:57,
NOZOMI_41,1,TOKYO,,08:42
NOZOMI_41,2,SHINAGAWA,08:49,08:50
NOZOMI_41,3,SHIN_YOKOHAMA,09:00,09:01
NOZOMI_41,4,NAGOYA,10:18,10:19
NOZOMI_41,5,KYOTO,10:52,10:53
NOZOMI_41,6,SHIN_OSAKA,11:06,
NOZOMI_43,1,TOKYO,,08:51
NOZOMI_43,2,SHINAGAWA,08:58,08:59
NOZOMI_43,3,SHIN_YOKOHAMA,09:09,09:10
