train_id,stop_order,station_id,arrival,departure
TOKYO_MONORAIL_1,1,MONO_HAMAMATSUCHO,,05:30
TOKYO_MONORAIL_1,2,MONO_HANEDA_T3,05:42,05:43
TOKYO_MONORAIL_1,3,MONO_HANEDA_T1,05:46,05:47
TOKYO_MONORAIL_1,4,MONO_HANEDA_T2,05:49,
TOKYO_MONORAIL_3,1,MONO_HAMAMATSUCHO,,05:50
TOKYO_MONORAIL_3,2,MONO_HANEDA_T3,06:02,06:03
TOKYO_MONORAIL_3,3,MONO_HANEDA_T1,06:06,06:07
TOKYO_MONORAIL_3,4,MONO_HANEDA_T2,06:09,
TOKYO_MONORAIL_5,1,MONO_HAMAMATSUCHO,,06:10
TOKYO_MONORAIL_5,2,MONO_HANEDA_T3,06:22,06:23
TOKYO_MONORAIL_5,3,MONO_HANEDA_T1,06:26,06:27
TOKYO_MONORAIL_5,4,MONO_HANEDA_T2,06:29,
TOKYO_MONORAIL_7,1,MONO_HAMAMATSUCHO,,06:30
TOKYO_MONORAIL_7,2,MONO_HANEDA_T3,06:42,06:43
TOKYO_MONORAIL_7,3,MONO_HANEDA_T1,06:46,06:47
TOKYO_MONORAIL_7,4,MONO_HANEDA_T2,06:49,
TOKYO_MONORAIL_9,1,MONO_HAMAMATSUCHO,,06:50
TOKYO_MONORAIL_9,2,MONO_HANEDA_T3,07:02,07:03
TOKYO_MONORAIL_9,3,MONO_HANEDA_T1,07:06,07:07
TOKYO_MONORAIL_9,4,MONO_HANEDA_T2,07:09,
TOKYO_MONORAIL_11,1,MONO_HAMAMATSUCHO,,07:10
TOKYO_MONORAIL_11,2,MONO_HANEDA_T3,07:22,07:23
TOKYO_MONORAIL_11,3,MONO_HANEDA_T1,07:26,07:27
TOKYO_MONORAIL_11,4,MONO_HANEDA_T2,07:29,
TOKYO_MONORAIL_13,1,MONO_HAMAMATSUCHO,,07:30
TOKYO_MONORAIL_13,2,MONO_HANEDA_T3,07:42,07:43
TOKYO_MONORAIL_13,3,MONO_HANEDA_T1,07:46,07:47
TOKYO_MONORAIL_13,4,MONO_HANEDA_T2,07:49,
TOKYO_MONORAIL_15,1,MONO_HAMAMATSUCHO,,07:50
TOKYO_MONORAIL_15,2,MONO_HANEDA_T3,08:02,08:03
TOKYO_MONORAIL_15,3,MONO_HANEDA_T1,08:06,08:07
TOKYO_MONORAIL_15,4,MONO_HANEDA_T2,08:09,
TOKYO_MONORAIL_17,1,MONO_HAMAMATSUCHO,,08:10
TOKYO_MONORAIL_17,2,MONO_HANEDA_T3,08:22,08:23
TOKYO_MONORAIL_17,3,MONO_HANEDA_T1,08:26,08:27
TOKYO_MONORAIL_17,4,MONO_HANEDA_T2,08:29,
TOKYO_MONORAIL_19,1,MONO_HAMAMATSUCHO,,08:30
TOKYO_MONORAIL_19,2,MONO_HANEDA_T3,08:42,08:43
TOKYO_MONORAIL_19,3,MONO_HANEDA_T1,08:46,08:47
TOKYO_MONORAIL_19,4,MONO_HANEDA_T2,08:49,
TOKYO_MONORAIL_21,1,MONO_HAMAMATSUCHO,,08:50
TOKYO_MONORAIL_21,2,MONO_HANEDA_T3,09:02,09:03
TOKYO_MONORAIL_21,3,MONO_HANEDA_T1,09:06,09:07
TOKYO_MONORAIL_21,4,MONO_HANEDA_T2,09:09,
TOKYO_MONORAIL_23,1,MONO_HAMAMATSUCHO,,09:10
TOKYO_MONORAIL_23,2,MONO_HANEDA_T3,09:22,09:23
TOKYO_MONORAIL_23,3,MONO_HANEDA_T1,09:26,09:27
TOKYO_MONORAIL_23,4,MONO_HANEDA_T2,09:29,
TOKYO_MONORAIL_25,1,MONO_HAMAMATSUCHO,,09:30
TOKYO_MONORAIL_25,2,MONO_HANEDA_T3,09:42,09:43
TOKYO_MONORAIL_25,3,MONO_HANEDA_T1,09:46,09:47
TOKYO_MONORAIL_25,4,MONO_HANEDA_T2,09:49,
TOKYO_MONORAIL_27,1,MONO_HAMAMATSUCHO,,09:50
TOKYO_MONORAIL_27,2,MONO_HANEDA_T3,10:02,10:03
TOKYO_MONORAIL_27,3,MONO_HANEDA_T1,10:06,10:07
TOKYO_MONORAIL_27,4,MONO_HANEDA_T2,10:09,
TOKYO_MONORAIL_29,1,MONO_HAMAMATSUCHO,,10:10
TOKYO_MONORAIL_29,2,MONO_HANEDA_T3,10:22,10:23
TOKYO_MONORAIL_29,3,MONO_HANEDA_T1,10:26,10:27
TOKYO_MONORAIL_29,4,MONO_HANEDA_T2,10:29,
TOKYO_MONORAIL_31,1,MONO_HAMAMATSUCHO,,10:30
TOKYO_MONORAIL_31,2,MONO_HANEDA_T3,10:42,10:43
TOKYO_MONORAIL_31,3,MONO_HANEDA_T1,10:46,10:47
TOKYO_MONORAIL_31,4,MONO_HANEDA_T2,10:49,
TOKYO_MONORAIL_33,1,MONO_HAMAMATSUCHO,,10:50
TOKYO_MONORAIL_33,2,MONO_HANEDA_T3,11:02,11:03
TOKYO_MONORAIL_33,3,MONO_HANEDA_T1,11:06,11:07
TOKYO_MONORAIL_33,4,MONO_HANEDA_T2,11:09,
TOKYO_MONORAIL_35,1,MONO_HAMAMATSUCHO,,11:10
TOKYO_MONORAIL_35,2,MONO_HANEDA_T3,11:22,11:23
TOKYO_MONORAIL_35,3,MONO_HANEDA_T1,11:26,11:27
TOKYO_MONORAIL_35,4,MONO_HANEDA_T2,11:29,
