train_id,name,direction
TOKYO_MONORAIL_1,空港快速1,down
TOKYO_MONORAIL_3,空港快速3,down
TOKYO_MONORAIL_5,空港快速5,down
TOKYO_MONORAIL_7,空港快速7,down
TOKYO_MONORAIL_9,空港快速9,down
TOKYO_MONORAIL_11,空港快速11,down
TOKYO_MONORAIL_13,空港快速13,down
TOKYO_MONORAIL_15,空港快速15,down
TOKYO_MONORAIL_17,空港快速17,down
TOKYO_MONORAIL_19,空港快速19,down
TOKYO_MONORAIL_21,空港快速21,down
TOKYO_MONORAIL_23,空港快速23,down
TOKYO_MONORAIL_25,空港快速25,down
TOKYO_MONORAIL_27,空港快速27,down
TOKYO_MONORAIL_29,空港快速29,down
TOKYO_MONORAIL_31,空港快速31,down
TOKYO_MONORAIL_33,空港快速33,down
TOKYO_MONORAIL_35,空港快速35,down
TOKYO_MONORAIL_37,空港快速37,down
TOKYO_MONORAIL_39,空港快速39,down
TOKYO_MONORAIL_41,空港快速41,down
TOKYO_MONORAIL_43,空港快速43,down
TOKYO_MONORAIL_45,空港快速45,down
TOKYO_MONORAIL_47,空港快速47,down
TOKYO_MONORAIL_49,空港快速49,down
TOKYO_MONORAIL_51,空港快速51,down
TOKYO_MONORAIL_53,空港快速53,down
TOKYO_MONORAIL_55,空港快速55,down
TOKYO_MONORAIL_57,空港快速57,down
TOKYO_MONORAIL_59,空港快速59,down
TOKYO_MONORAIL_61,空港快速61,down
TOKYO_MONORAIL_63,空港快速63,down
TOKYO_MONORAIL_65,空港快速65,down
TOKYO_MONORAIL_67,空港快速67,down
TOKYO_MONORAIL_69,空港快速69,down
TOKYO_MONORAIL_71,空港快速71,down
TOKYO_MONORAIL_73,空港快速73,down
TOKYO_MONORAIL_75,空港快速75,down
TOKYO_MONORAIL_77,空港快速77,down
TOKYO_MONORAIL_79,空港快速79,down
TOKYO_MONORAIL_81,空港快速81,down
TOKYO_MONORAIL_83,空港快速83,down
TOKYO_MONORAIL_85,空港快速85,down
TOKYO_MONORAIL_87,空港快速87,down
TOKYO_MONORAIL_89,空港快速89,down
TOKYO_MONORAIL_91,空港快速91,down
TOKYO_MONORAIL_93,空港快速93,down
TOKYO_MONORAIL_95,空港快速95,down
TOKYO_MONORAIL_97,空港快速97,down
TOKYO_MONORAIL_99,空港快速99,down
TOKYO_MONORAIL_101,空港快速101,down
TOKYO_MONORAIL_103,空港快速103,down
TOKYO_MONORAIL_105,空港快速105,down
TOKYO_MONORAIL_2,空港快速2,up
TOKYO_MONORAIL_4,空港快速4,up
TOKYO_MONORAIL_6,空港快速6,up
TOKYO_MONORAIL_8,空港快速8,up
TOKYO_MONORAIL_10,空港快速10,up
TOKYO_MONORAIL_12,空港快速12,up
TOKYO_MONORAIL_14,空港快速14,up
TOKYO_MONORAIL_16,空港快速16,up
TOKYO_MONORAIL_18,空港快速18,up
TOKYO_MONORAIL_20,空港快速20,up
TOKYO_MONORAIL_22,空港快速22,up
TOKYO_MONORAIL_24,空港快速24,up
TOKYO_MONORAIL_26,空港快速26,up
TOKYO_MONORAIL_28,空港快速28,up
TOKYO_MONORAIL_30,空港快速30,up
TOKYO_MONORAIL_32,空港快速32,up
TOKYO_MONORAIL_34,空港快速34,up
TOKYO_MONORAIL_36,空港快速36,up
TOKYO_MONORAIL_38,空港快速38,up
TOKYO_MONORAIL_40,空港快速40,up
TOKYO_MONORAIL_42,空港快速42,up
TOKYO_MONORAIL_44,空港快速44,up
TOKYO_MONORAIL_46,空港快速46,up
TOKYO_MONORAIL_48,空港快速48,up
TOKYO_MONORAIL_50,空港快速50,up
TOKYO_MONORAIL_52,空港快速52,up
TOKYO_MONORAIL_54,空港快速54,up
TOKYO_MONORAIL_56,空港快速56,up
TOKYO_MONORAIL_58,空港快速58,up
TOKYO_MONORAIL_60,空港快速60,up
TOKYO_MONORAIL_62,空港快速62,up
TOKYO_MONORAIL_64,空港快速64,up
TOKYO_MONORAIL_66,空港快速66,up
TOKYO_MONORAIL_68,空港快速68,up
TOKYO_MONORAIL_70,空港快速70,up
TOKYO_MONORAIL_72,空港快速72,up
TOKYO_MONORAIL_74,空港快速74,up
TOKYO_MONORAIL_76,空港快速76,up
TOKYO_MONORAIL_78,空港快速78,up
TOKYO_MONORAIL_80,空港快速80,up
TOKYO_MONORAIL_82,空港快速82,up
TOKYO_MONORAIL_84,空港快速84,up
TOKYO_MONORAIL_86,空港快速86,up
TOKYO_MONORAIL_88,空港快速88,up
TOKYO_MONORAIL_90,空港快速90,up
TOKYO_MONORAIL_92,空港快速92,up
TOKYO_MONORAIL_94,空港快速94,up
TOKYO_MONORAIL_96,空港快速96,up
TOKYO_MONORAIL_98,空港快速98,up
TOKYO_MONORAIL_100,空港快速100,up
TOKYO_MONORAIL_102,空港快速102,up
TOKYO_MONORAIL_104,空港快速104,up
TOKYO_MONORAIL_106,空港快速106,up
