train_id,stop_order,station_id,arrival,departure
TSUBASA_1,1,TOKYO,,06:00
TSUBASA_1,2,UENO,06:05,06:06
TSUBASA_1,3,OMIYA,06:30,06:31
TSUBASA_1,4,UTSUNOMIYA,07:00,07:01
TSUBASA_1,5,KORIYAMA,07:30,07:31
TSUBASA_1,6,FUKUSHIMA,07:45,07:50
TSUBASA_1,7,YONEZAWA,08:15,08:16
TSUBASA_1,8,YAMAGATA,08:40,08:41
TSUBASA_1,9,SHINJO,09:30,
TSUBASA_3,1,TOKYO,,07:00
TSUBASA_3,2,UENO,07:05,07:06
TSUBASA_3,3,OMIYA,07:30,07:31
TSUBASA_3,4,UTSUNOMIYA,08:00,08:01
TSUBASA_3,5,KORIYAMA,08:30,08:31
TSUBASA_3,6,FUKUSHIMA,08:45,08:50
TSUBASA_3,7,YONEZAWA,09:15,09:16
TSUBASA_3,8,YAMAGATA,09:40,09:41
TSUBASA_3,9,SHINJO,10:30,
TSUBASA_5,1,TOKYO,,08:00
TSUBASA_5,2,UENO,08:05,08:06
TSUBASA_5,3,OMIYA,08:30,08:31
TSUBASA_5,4,UTSUNOMIYA,09:00,09:01
TSUBASA_5,5,KORIYAMA,09:30,09:31
TSUBASA_5,6,FUKUSHIMA,09:45,09:50
TSUBASA_5,7,YONEZAWA,10:15,10:16
TSUBASA_5,8,YAMAGATA,10:40,10:41
TSUBASA_5,9,SHINJO,11:30,
TSUBASA_7,1,TOKYO,,09:00
TSUBASA_7,2,UENO,09:05,09:06
TSUBASA_7,3,OMIYA,09:30,09:31
TSUBASA_7,4,UTSUNOMIYA,10:00,10:01
TSUBASA_7,5,KORIYAMA,10:30,10:31
TSUBASA_7,6,FUKUSHIMA,10:45,10:50
TSUBASA_7,7,YONEZAWA,11:15,11:16
TSUBASA_7,8,YAMAGATA,11:40,11:41
TSUBASA_7,9,SHINJO,12:30,
TSUBASA_9,1,TOKYO,,10:00
TSUBASA_9,2,UENO,10:05,10:06
TSUBASA_9,3,OMIYA,10:30,10:31
TSUBASA_9,4,UTSUNOMIYA,11:00,11:01
TSUBASA_9,5,KORIYAMA,11:30,11:31
TSUBASA_9,6,FUKUSHIMA,11:45,11:50
TSUBASA_9,7,YONEZAWA,12:15,12:16
TSUBASA_9,8,YAMAGATA,12:40,12:41
TSUBASA_9,9,SHINJO,13:30,
TSUBASA_11,1,TOKYO,,11:00
TSUBASA_11,2,UENO,11:05,11:06
TSUBASA_11,3,OMIYA,11:30,11:31
TSUBASA_11,4,UTSUNOMIYA,12:00,12:01
TSUBASA_11,5,KORIYAMA,12:30,12:31
TSUBASA_11,6,FUKUSHIMA,12:45,12:50
TSUBASA_11,7,YONEZAWA,13:15,13:16
TSUBASA_11,8,YAMAGATA,13:40,13:41
TSUBASA_11,9,SHINJO,14:30,
TSUBASA_13,1,TOKYO,,12:00
TSUBASA_13,2,UENO,12:05,12:06
TSUBASA_13,3,OMIYA,12:30,12:31
TSUBASA_13,4,UTSUNOMIYA,13:00,13:01
TSUBASA_13,5,KORIYAMA,13:30,13:31
TSUBASA_13,6,FUKUSHIMA,13:45,13:50
TSUBASA_13,7,YONEZAWA,14:15,14:16
TSUBASA_13,8,YAMAGATA,14:40,14:41
TSUBASA_13,9,SHINJO,15:30,
TSUBASA_15,1,TOKYO,,13:00
TSUBASA_15,2,UENO,13:05,13:06
TSUBASA_15,3,OMIYA,13:30,13:31
TSUBASA_15,4,UTSUNOMIYA,14:00,14:01
TSUBASA_15,5,KORIYAMA,14:30,14:31
TSUBASA_15,6,FUKUSHIMA,14:45,14:50
TSUBASA_15,7,YONEZAWA,15:15,15:16
TSUBASA_15,8,YAMAGATA,15:40,15:41
TSUBASA_15,9,SHINJO,16:30,
TSUBASA_17,1,TOKYO,,14:00
TSUBASA_17,2,UENO,14:05,14:06
TSUBASA_17,3,OMIYA,14:30,14:31
TSUBASA_17,4,UTSUNOMIYA,15:00,15:01
TSUBASA_17,5,KORIYAMA,15:30,15:31
TSUBASA_17,6,FUKUSHIMA,15:45,15:50
TSUBASA_17,7,YONEZAWA,16:15,16:16
TSUBASA_17,8,YAMAGATA,16:40,16:41
TSUBASA_17,9,SHINJO,17:30,
TSUBASA_19,1,TOKYO,,15:00
TSUBASA_19,2,UENO,15:05,15:06
TSUBASA_19,3,OMIYA,15:30,15:31
TSUBASA_19,4,UTSUNOMIYA,16:00,16:01
TSUBASA_19,5,KORIYAMA,16:30,16:31
TSUBASA_19,6,FUKUSHIMA,16:45,16:50
TSUBASA_19,7,YONEZAWA,17:15,17:16
TSUBASA_19,8,YAMAGATA,17:40,17:41
TSUBASA_19,9,SHINJO,18:30,
TSUBASA_21,1,TOKYO,,16:00
TSUBASA_21,2,UENO,16:05,16:06
TSUBASA_21,3,OMIYA,16:30,16:31
TSUBASA_21,4,UTSUNOMIYA,17:00,17:01
TSUBASA_21,5,KORIYAMA,17:30,17:31
TSUBASA_21,6,FUKUSHIMA,17:45,17:50
TSUBASA_21,7,YONEZAWA,18:15,18:16
TSUBASA_21,8,YAMAGATA,18:40,18:41
TSUBASA_21,9,SHINJO,19:30,
TSUBASA_23,1,TOKYO,,17:00
TSUBASA_23,2,UENO,17:05,17:06
TSUBASA_23,3,OMIYA,17:30,17:31
TSUBASA_23,4,UTSUNOMIYA,18:00,18:01
TSUBASA_23,5,KORIYAMA,18:30,18:31
TSUBASA_23,6,FUKUSHIMA,18:45,18:50
TSUBASA_23,7,YONEZAWA,19:15,19:16
TSUBASA_23,8,YAMAGATA,19:40,19:41
TSUBASA_23,9,SHINJO,20:30,
TSUBASA_25,1,TOKYO,,18:00
TSUBASA_25,2,UENO,18:05,18:06
TSUBASA_25,3,OMIYA,18:30,18:31
TSUBASA_25,4,UTSUNOMIYA,19:00,19:01
TSUBASA_25,5,KORIYAMA,19:30,19:31
TSUBASA_25,6,FUKUSHIMA,19:45,19:50
TSUBASA_25,7,YONEZAWA,20:15,20:16
TSUBASA_25,8,YAMAGATA,20:40,20:41
TSUBASA_25,9,SHINJO,21:30,
TSUBASA_27,1,TOKYO,,19:00
TSUBASA_27,2,UENO,19:05,19:06
TSUBASA_27,3,OMIYA,19:30,19:31
TSUBASA_27,4,UTSUNOMIYA,20:00,20:01
TSUBASA_27,5,KORIYAMA,20:30,20:31
TSUBASA_27,6,FUKUSHIMA,20:45,20:50
TSUBASA_27,7,YONEZAWA,21:15,21:16
TSUBASA_27,8,YAMAGATA,21:40,21:41
TSUBASA_27,9,SHINJO,22:30,
TSUBASA_29,1,TOKYO,,20:00
TSUBASA_29,2,UENO,20:05,20:06
TSUBASA_29,3,OMIYA,20:30,20:31
TSUBASA_29,4,UTSUNOMIYA,21:00,21:01
TSUBASA_29,5,KORIYAMA,21:30,21:31
TSUBASA_29,6,FUKUSHIMA,21:45,21:50
TSUBASA_29,7,YONEZAWA,22:15,22:16
TSUBASA_29,8,YAMAGATA,22:40,22:41
TSUBASA_29,9,SHINJO,23:30,
TSUBASA_31,1,TOKYO,,21:00
TSUBASA_31,2,UENO,21:05,21:06
TSUBASA_31,3,OMIYA,21:30,21:31
TSUBASA_31,4,UTSUNOMIYA,22:00,22:01
TSUBASA_31,5,KORIYAMA,22:30,22:31
TSUBASA_31,6,FUKUSHIMA,22:45,22:50
TSUBASA_31,7,YONEZAWA,23:15,23:16
TSUBASA_31,8,YAMAGATA,23:40,23:41
TSUBASA_31,9,SHINJO,24:30,
TSUBASA_2,1,SHINJO,,06:00
TSUBASA_2,2,YAMAGATA,06:49,06:50
TSUBASA_2,3,YONEZAWA,07:14,07:15
TSUBASA_2,4,FUKUSHIMA,07:40,07:45
TSUBASA_2,5,KORIYAMA,07:59,08:00
TSUBASA_2,6,UTSUNOMIYA,08:29,08:30
TSUBASA_2,7,OMIYA,08:59,09:00
TSUBASA_2,8,UENO,09:24,09:25
TSUBASA_2,9,TOKYO,09:30,
TSUBASA_4,1,SHINJO,,07:00
TSUBASA_4,2,YAMAGATA,07:49,07:50
TSUBASA_4,3,YONEZAWA,08:14,08:15
TSUBASA_4,4,FUKUSHIMA,08:40,08:45
TSUBASA_4,5,KORIYAMA,08:59,09:00
TSUBASA_4,6,UTSUNOMIYA,09:29,09:30
TSUBASA_4,7,OMIYA,09:59,10:00
TSUBASA_4,8,UENO,10:24,10:25
TSUBASA_4,9,TOKYO,10:30,
TSUBASA_6,1,SHINJO,,08:00
TSUBASA_6,2,YAMAGATA,08:49,08:50
TSUBASA_6,3,YONEZAWA,09:14,09:15
TSUBASA_6,4,FUKUSHIMA,09:40,09:45
TSUBASA_6,5,KORIYAMA,09:59,10:00
TSUBASA_6,6,UTSUNOMIYA,10:29,10:30
TSUBASA_6,7,OMIYA,10:59,11:00
TSUBASA_6,8,UENO,11:24,11:25
TSUBASA_6,9,TOKYO,11:30,
TSUBASA_8,1,SHINJO,,09:00
TSUBASA_8,2,YAMAGATA,09:49,09:50
TSUBASA_8,3,YONEZAWA,10:14,10:15
TSUBASA_8,4,FUKUSHIMA,10:40,10:45
TSUBASA_8,5,KORIYAMA,10:59,11:00
TSUBASA_8,6,UTSUNOMIYA,11:29,11:30
TSUBASA_8,7,OMIYA,11:59,12:00
TSUBASA_8,8,UENO,12:24,12:25
TSUBASA_8,9,TOKYO,12:30,
TSUBASA_10,1,SHINJO,,10:00
TSUBASA_10,2,YAMAGATA,10:49,10:50
TSUBASA_10,3,YONEZAWA,11:14,11:15
TSUBASA_10,4,FUKUSHIMA,11:40,11:45
TSUBASA_10,5,KORIYAMA,11:59,12:00
TSUBASA_10,6,UTSUNOMIYA,12:29,12:30
TSUBASA_10,7,OMIYA,12:59,13:00
TSUBASA_10,8,UENO,13:24,13:25
TSUBASA_10,9,TOKYO,13:30,
TSUBASA_12,1,SHINJO,,11:00
TSUBASA_12,2,YAMAGATA,11:49,11:50
TSUBASA_12,3,YONEZAWA,12:14,12:15
TSUBASA_12,4,FUKUSHIMA,12:40,12:45
TSUBASA_12,5,KORIYAMA,12:59,13:00
TSUBASA_12,6,UTSUNOMIYA,13:29,13:30
TSUBASA_12,7,OMIYA,13:59,14:00
TSUBASA_12,8,UENO,14:24,14:25
TSUBASA_12,9,TOKYO,14:30,
TSUBASA_14,1,SHINJO,,12:00
TSUBASA_14,2,YAMAGATA,12:49,12:50
TSUBASA_14,3,YONEZAWA,13:14,13:15
TSUBASA_14,4,FUKUSHIMA,13:40,13:45
TSUBASA_14,5,KORIYAMA,13:59,14:00
TSUBASA_14,6,UTSUNOMIYA,14:29,14:30
TSUBASA_14,7,OMIYA,14:59,15:00
TSUBASA_14,8,UENO,15:24,15:25
TSUBASA_14,9,TOKYO,15:30,
TSUBASA_16,1,SHINJO,,13:00
TSUBASA_16,2,YAMAGATA,13:49,13:50
TSUBASA_16,3,YONEZAWA,14:14,14:15
TSUBASA_16,4,FUKUSHIMA,14:40,14:45
TSUBASA_16,5,KORIYAMA,14:59,15:00
TSUBASA_16,6,UTSUNOMIYA,15:29,15:30
TSUBASA_16,7,OMIYA,15:59,16:00
TSUBASA_16,8,UENO,16:24,16:25
TSUBASA_16,9,TOKYO,16:30,
TSUBASA_18,1,SHINJO,,14:00
TSUBASA_18,2,YAMAGATA,14:49,14:50
TSUBASA_18,3,YONEZAWA,15:14,15:15
TSUBASA_18,4,FUKUSHIMA,15:40,15:45
TSUBASA_18,5,KORIYAMA,15:59,16:00
TSUBASA_18,6,UTSUNOMIYA,16:29,16:30
TSUBASA_18,7,OMIYA,16:59,17:00
TSUBASA_18,8,UENO,17:24,17:25
TSUBASA_18,9,TOKYO,17:30,
TSUBASA_20,1,SHINJO,,15:00
TSUBASA_20,2,YAMAGATA,15:49,15:50
TSUBASA_20,3,YONEZAWA,16:14,16:15
TSUBASA_20,4,FUKUSHIMA,16:40,16:45
TSUBASA_20,5,KORIYAMA,16:59,17:00
TSUBASA_20,6,UTSUNOMIYA,17:29,17:30
TSUBASA_20,7,OMIYA,17:59,18:00
TSUBASA_20,8,UENO,18:24,18:25
TSUBASA_20,9,TOKYO,18:30,
TSUBASA_22,1,SHINJO,,16:00
TSUBASA_22,2,YAMAGATA,16:49,16:50
TSUBASA_22,3,YONEZAWA,17:14,17:15
TSUBASA_22,4,FUKUSHIMA,17:40,17:45
TSUBASA_22,5,KORIYAMA,17:59,18:00
TSUBASA_22,6,UTSUNOMIYA,18:29,18:30
TSUBASA_22,7,OMIYA,18:59,19:00
TSUBASA_22,8,UENO,19:24,19:25
TSUBASA_22,9,TOKYO,19:30,
TSUBASA_24,1,SHINJO,,17:00
TSUBASA_24,2,YAMAGATA,17:49,17:50
TSUBASA_24,3,YONEZAWA,18:14,18:15
TSUBASA_24,4,FUKUSHIMA,18:40,18:45
TSUBASA_24,5,KORIYAMA,18:59,19:00
TSUBASA_24,6,UTSUNOMIYA,19:29,19:30
TSUBASA_24,7,OMIYA,19:59,20:00
TSUBASA_24,8,UENO,20:24,20:25
TSUBASA_24,9,TOKYO,20:30,
TSUBASA_26,1,SHINJO,,18:00
TSUBASA_26,2,YAMAGATA,18:49,18:50
TSUBASA_26,3,YONEZAWA,19:14,19:15
TSUBASA_26,4,FUKUSHIMA,19:40,19:45
TSUBASA_26,5,KORIYAMA,19:59,20:00
TSUBASA_26,6,UTSUNOMIYA,20:29,20:30
TSUBASA_26,7,OMIYA,20:59,21:00
TSUBASA_26,8,UENO,21:24,21:25
TSUBASA_26,9,TOKYO,21:30,
TSUBASA_28,1,SHINJO,,19:00
TSUBASA_28,2,YAMAGATA,19:49,19:50
TSUBASA_28,3,YONEZAWA,20:14,20:15
TSUBASA_28,4,FUKUSHIMA,20:40,20:45
TSUBASA_28,5,KORIYAMA,20:59,21:00
TSUBASA_28,6,UTSUNOMIYA,21:29,21:30
TSUBASA_28,7,OMIYA,21:59,22:00
TSUBASA_28,8,UENO,22:24,22:25
TSUBASA_28,9,TOKYO,22:30,
TSUBASA_30,1,SHINJO,,20:00
TSUBASA_30,2,YAMAGATA,20:49,20:50
TSUBASA_30,3,YONEZAWA,21:14,21:15
TSUBASA_30,4,FUKUSHIMA,21:40,21:45
TSUBASA_30,5,KORIYAMA,21:59,22:00
TSUBASA_30,6,UTSUNOMIYA,22:29,22:30
TSUBASA_30,7,OMIYA,22:59,23:00
TSUBASA_30,8,UENO,23:24,23:25
TSUBASA_30,9,TOKYO,23:30,
TSUBASA_32,1,SHINJO,,21:00
TSUBASA_32,2,YAMAGATA,21:49,21:50
TSUBASA_32,3,YONEZAWA,22:14,22:15
TSUBASA_32,4,FUKUSHIMA,22:40,22:45
TSUBASA_32,5,KORIYAMA,22:59,23:00
TSUBASA_32,6,UTSUNOMIYA,23:29,23:30
TSUBASA_32,7,OMIYA,23:59,24:00
TSUBASA_32,8,UENO,24:24,24:25
TSUBASA_32,9,TOKYO,24:30,
