train_id,name,direction
TSUBASA_1,つばさ1号,down
TSUBASA_3,つばさ3号,down
TSUBASA_5,つばさ5号,down
TSUBASA_7,つばさ7号,down
TSUBASA_9,つばさ9号,down
TSUBASA_11,つばさ11号,down
TSUBASA_13,つばさ13号,down
TSUBASA_15,つばさ15号,down
TSUBASA_17,つばさ17号,down
TSUBASA_19,つばさ19号,down
TSUBASA_21,つばさ21号,down
TSUBASA_23,つばさ23号,down
TSUBASA_25,つばさ25号,down
TSUBASA_27,つばさ27号,down
TSUBASA_29,つばさ29号,down
TSUBASA_2,つばさ2号,up
TSUBASA_4,つばさ4号,up
TSUBASA_6,つばさ6号,up
TSUBASA_8,つばさ8号,up
TSUBASA_10,つばさ10号,up
TSUBASA_12,つばさ12号,up
TSUBASA_14,つばさ14号,up
TSUBASA_16,つばさ16号,up
TSUBASA_18,つばさ18号,up
TSUBASA_20,つばさ20号,up
TSUBASA_22,つばさ22号,up
TSUBASA_24,つばさ24号,up
TSUBASA_26,つばさ26号,up
TSUBASA_28,つばさ28号,up
TSUBASA_30,つばさ30号,up
TSUBASA_Y_1,つばさ1号,down
TSUBASA_Y_3,つばさ3号,down
TSUBASA_Y_2,つばさ2号,up
TSUBASA_Y_4,つばさ4号,up
