train_id,stop_order,station_id,arrival,departure
TSUBASA_1,1,TOKYO,,06:12
TSUBASA_1,2,UENO,06:17,06:18
TSUBASA_1,3,OMIYA,06:42,06:43
TSUBASA_1,4,UTSUNOMIYA,07:12,07:13
TSUBASA_1,5,KORIYAMA,07:42,07:43
TSUBASA_1,6,FUKUSHIMA,07:57,08:02
TSUBASA_1,7,YONEZAWA,08:27,08:28
TSUBASA_1,8,YAMAGATA,08:52,08:53
TSUBASA_1,9,SHINJO,09:42,
TSUBASA_3,1,TOKYO,,06:48
TSUBASA_3,2,UENO,06:53,06:54
TSUBASA_3,3,OMIYA,07:18,07:19
TSUBASA_3,4,UTSUNOMIYA,07:48,07:49
TSUBASA_3,5,KORIYAMA,08:18,08:19
TSUBASA_3,6,FUKUSHIMA,08:33,08:38
TSUBASA_3,7,YONEZAWA,09:03,09:04
TSUBASA_3,8,YAMAGATA,09:28,09:29
TSUBASA_3,9,SHINJO,10:18,
TSUBASA_5,1,TOKYO,,07:08
TSUBASA_5,2,UENO,07:13,07:14
TSUBASA_5,3,OMIYA,07:38,07:39
TSUBASA_5,4,UTSUNOMIYA,08:08,08:09
TSUBASA_5,5,KORIYAMA,08:38,08:39
TSUBASA_5,6,FUKUSHIMA,08:53,08:58
TSUBASA_5,7,YONEZAWA,09:23,09:24
TSUBASA_5,8,YAMAGATA,09:48,09:49
TSUBASA_5,9,SHINJO,10:38,
TSUBASA_7,1,TOKYO,,08:12
TSUBASA_7,2,UENO,08:17,08:18
TSUBASA_7,3,OMIYA,08:42,08:43
TSUBASA_7,4,UTSUNOMIYA,09:12,09:13
TSUBASA_7,5,KORIYAMA,09:42,09:43
TSUBASA_7,6,FUKUSHIMA,09:57,10:02
TSUBASA_7,7,YONEZAWA,10:27,10:28
TSUBASA_7,8,YAMAGATA,10:52,10:53
TSUBASA_7,9,SHINJO,11:42,
TSUBASA_9,1,TOKYO,,09:00
TSUBASA_9,2,UENO,09:05,09:06
TSUBASA_9,3,OMIYA,09:30,09:31
TSUBASA_9,4,UTSUNOMIYA,10:00,10:01
TSUBASA_9,5,KORIYAMA,10:30,10:31
TSUBASA_9,6,FUKUSHIMA,10:45,10:50
TSUBASA_9,7,YONEZAWA,11:15,11:16
TSUBASA_9,8,YAMAGATA,11:40,11:41
TSUBASA_9,9,SHINJO,12:30,
TSUBASA_11,1,TOKYO,,10:00
TSUBASA_11,2,UENO,10:05,10:06
TSUBASA_11,3,OMIYA,10:30,10:31
TSUBASA_11,4,UTSUNOMIYA,11:00,11:01
TSUBASA_11,5,KORIYAMA,11:30,11:31
TSUBASA_11,6,FUKUSHIMA,11:45,11:50
TSUBASA_11,7,YONEZAWA,12:15,12:16
TSUBASA_11,8,YAMAGATA,12:40,12:41
TSUBASA_11,9,SHINJO,13:30,
TSUBASA_13,1,TOKYO,,11:00
TSUBASA_13,2,UENO,11:05,11:06
TSUBASA_13,3,OMIYA,11:30,11:31
TSUBASA_13,4,UTSUNOMIYA,12:00,12:01
TSUBASA_13,5,KORIYAMA,12:30,12:31
TSUBASA_13,6,FUKUSHIMA,12:45,12:50
TSUBASA_13,7,YONEZAWA,13:15,13:16
TSUBASA_13,8,YAMAGATA,13:40,13:41
TSUBASA_13,9,SHINJO,14:30,
TSUBASA_15,1,TOKYO,,12:00
TSUBASA_15,2,UENO,12:05,12:06
TSUBASA_15,3,OMIYA,12:30,12:31
TSUBASA_15,4,UTSUNOMIYA,13:00,13:01
TSUBASA_15,5,KORIYAMA,13:30,13:31
TSUBASA_15,6,FUKUSHIMA,13:45,13:50
TSUBASA_15,7,YONEZAWA,14:15,14:16
TSUBASA_15,8,YAMAGATA,14:40,14:41
TSUBASA_15,9,SHINJO,15:30,
TSUBASA_17,1,TOKYO,,13:00
TSUBASA_17,2,UENO,13:05,13:06
TSUBASA_17,3,OMIYA,13:30,13:31
TSUBASA_17,4,UTSUNOMIYA,14:00,14:01
TSUBASA_17,5,KORIYAMA,14:30,14:31
TSUBASA_17,6,FUKUSHIMA,14:45,14:50
TSUBASA_17,7,YONEZAWA,15:15,15:16
TSUBASA_17,8,YAMAGATA,15:40,15:41
TSUBASA_17,9,SHINJO,16:30,
TSUBASA_19,1,TOKYO,,14:00
TSUBASA_19,2,UENO,14:05,14:06
TSUBASA_19,3,OMIYA,14:30,14:31
TSUBASA_19,4,UTSUNOMIYA,15:00,15:01
TSUBASA_19,5,KORIYAMA,15:30,15:31
TSUBASA_19,6,FUKUSHIMA,15:45,15:50
TSUBASA_19,7,YONEZAWA,16:15,16:16
TSUBASA_19,8,YAMAGATA,16:40,16:41
TSUBASA_19,9,SHINJO,17:30,
TSUBASA_21,1,TOKYO,,15:00
TSUBASA_21,2,UENO,15:05,15:06
TSUBASA_21,3,OMIYA,15:30,15:31
TSUBASA_21,4,UTSUNOMIYA,16:00,16:01
TSUBASA_21,5,KORIYAMA,16:30,16:31
TSUBASA_21,6,FUKUSHIMA,16:45,16:50
TSUBASA_21,7,YONEZAWA,17:15,17:16
TSUBASA_21,8,YAMAGATA,17:40,17:41
TSUBASA_21,9,SHINJO,18:30,
TSUBASA_23,1,TOKYO,,16:00
TSUBASA_23,2,UENO,16:05,16:06
TSUBASA_23,3,OMIYA,16:30,16:31
TSUBASA_23,4,UTSUNOMIYA,17:00,17:01
TSUBASA_23,5,KORIYAMA,17:30,17:31
TSUBASA_23,6,FUKUSHIMA,17:45,17:50
TSUBASA_23,7,YONEZAWA,18:15,18:16
TSUBASA_23,8,YAMAGATA,18:40,18:41
TSUBASA_23,9,SHINJO,19:30,
TSUBASA_25,1,TOKYO,,17:08
TSUBASA_25,2,UENO,17:13,17:14
TSUBASA_25,3,OMIYA,17:38,17:39
TSUBASA_25,4,UTSUNOMIYA,18:08,18:09
TSUBASA_25,5,KORIYAMA,18:38,18:39
TSUBASA_25,6,FUKUSHIMA,18:53,18:58
TSUBASA_25,7,YONEZAWA,19:23,19:24
TSUBASA_25,8,YAMAGATA,19:48,19:49
TSUBASA_25,9,SHINJO,20:38,
TSUBASA_27,1,TOKYO,,18:00
TSUBASA_27,2,UENO,18:05,18:06
TSUBASA_27,3,OMIYA,18:30,18:31
TSUBASA_27,4,UTSUNOMIYA,19:00,19:01
TSUBASA_27,5,KORIYAMA,19:30,19:31
TSUBASA_27,6,FUKUSHIMA,19:45,19:50
TSUBASA_27,7,YONEZAWA,20:15,20:16
TSUBASA_27,8,YAMAGATA,20:40,20:41
TSUBASA_27,9,SHINJO,21:30,
TSUBASA_29,1,TOKYO,,19:48
TSUBASA_29,2,UENO,19:53,19:54
TSUBASA_29,3,OMIYA,20:18,20:19
TSUBASA_29,4,UTSUNOMIYA,20:48,20:49
TSUBASA_29,5,KORIYAMA,21:18,21:19
TSUBASA_29,6,FUKUSHIMA,21:33,21:38
TSUBASA_29,7,YONEZAWA,22:03,22:04
TSUBASA_29,8,YAMAGATA,22:28,22:29
TSUBASA_29,9,SHINJO,23:18,
TSUBASA_2,1,SHINJO,,06:01
TSUBASA_2,2,YAMAGATA,06:50,06:51
TSUBASA_2,3,YONEZAWA,07:15,07:16
TSUBASA_2,4,FUKUSHIMA,07:41,07:46
TSUBASA_2,5,KORIYAMA,08:00,08:01
TSUBASA_2,6,UTSUNOMIYA,08:30,08:31
TSUBASA_2,7,OMIYA,09:00,09:01
TSUBASA_2,8,UENO,09:25,09:26
TSUBASA_2,9,TOKYO,09:31,
TSUBASA_4,1,SHINJO,,07:00
TSUBASA_4,2,YAMAGATA,07:49,07:50
TSUBASA_4,3,YONEZAWA,08:14,08:15
TSUBASA_4,4,FUKUSHIMA,08:40,08:45
TSUBASA_4,5,KORIYAMA,08:59,09:00
TSUBASA_4,6,UTSUNOMIYA,09:29,09:30
TSUBASA_4,7,OMIYA,09:59,10:00
TSUBASA_4,8,UENO,10:24,10:25
TSUBASA_4,9,TOKYO,10:30,
TSUBASA_6,1,SHINJO,,08:14
TSUBASA_6,2,YAMAGATA,09:03,09:04
TSUBASA_6,3,YONEZAWA,09:28,09:29
TSUBASA_6,4,FUKUSHIMA,09:54,09:59
TSUBASA_6,5,KORIYAMA,10:13,10:14
TSUBASA_6,6,UTSUNOMIYA,10:43,10:44
TSUBASA_6,7,OMIYA,11:13,11:14
TSUBASA_6,8,UENO,11:38,11:39
TSUBASA_6,9,TOKYO,11:44,
TSUBASA_8,1,SHINJO,,09:11
TSUBASA_8,2,YAMAGATA,10:00,10:01
TSUBASA_8,3,YONEZAWA,10:25,10:26
TSUBASA_8,4,FUKUSHIMA,10:51,10:56
TSUBASA_8,5,KORIYAMA,11:10,11:11
TSUBASA_8,6,UTSUNOMIYA,11:40,11:41
TSUBASA_8,7,OMIYA,12:10,12:11
TSUBASA_8,8,UENO,12:35,12:36
TSUBASA_8,9,TOKYO,12:41,
TSUBASA_10,1,SHINJO,,10:14
TSUBASA_10,2,YAMAGATA,11:03,11:04
TSUBASA_10,3,YONEZAWA,11:28,11:29
TSUBASA_10,4,FUKUSHIMA,11:54,11:59
TSUBASA_10,5,KORIYAMA,12:13,12:14
TSUBASA_10,6,UTSUNOMIYA,12:43,12:44
TSUBASA_10,7,OMIYA,13:13,13:14
TSUBASA_10,8,UENO,13:38,13:39
TSUBASA_10,9,TOKYO,13:44,
TSUBASA_12,1,SHINJO,,11:14
TSUBASA_12,2,YAMAGATA,12:03,12:04
TSUBASA_12,3,YONEZAWA,12:28,12:29
TSUBASA_12,4,FUKUSHIMA,12:54,12:59
TSUBASA_12,5,KORIYAMA,13:13,13:14
TSUBASA_12,6,UTSUNOMIYA,13:43,13:44
TSUBASA_12,7,OMIYA,14:13,14:14
TSUBASA_12,8,UENO,14:38,14:39
TSUBASA_12,9,TOKYO,14:44,
TSUBASA_14,1,SHINJO,,12:14
TSUBASA_14,2,YAMAGATA,13:03,13:04
TSUBASA_14,3,YONEZAWA,13:28,13:29
TSUBASA_14,4,FUKUSHIMA,13:54,13:59
TSUBASA_14,5,KORIYAMA,14:13,14:14
TSUBASA_14,6,UTSUNOMIYA,14:43,14:44
