train_id,name,direction
TX_1,TX快速1,down
TX_3,TX快速3,down
TX_5,TX快速5,down
TX_7,TX快速7,down
TX_9,TX快速9,down
TX_11,TX快速11,down
TX_13,TX快速13,down
TX_15,TX快速15,down
TX_17,TX快速17,down
TX_19,TX快速19,down
TX_21,TX快速21,down
TX_23,TX快速23,down
TX_25,TX快速25,down
TX_27,TX快速27,down
TX_29,TX快速29,down
TX_31,TX快速31,down
TX_33,TX快速33,down
TX_35,TX快速35,down
TX_37,TX快速37,down
TX_39,TX快速39,down
TX_41,TX快速41,down
TX_43,TX快速43,down
TX_45,TX快速45,down
TX_47,TX快速47,down
TX_49,TX快速49,down
TX_51,TX快速51,down
TX_53,TX快速53,down
TX_55,TX快速55,down
TX_57,TX快速57,down
TX_59,TX快速59,down
TX_61,TX快速61,down
TX_63,TX快速63,down
TX_65,TX快速65,down
TX_2,TX快速2,up
TX_4,TX快速4,up
TX_6,TX快速6,up
TX_8,TX快速8,up
TX_10,TX快速10,up
TX_12,TX快速12,up
TX_14,TX快速14,up
TX_16,TX快速16,up
TX_18,TX快速18,up
TX_20,TX快速20,up
TX_22,TX快速22,up
TX_24,TX快速24,up
TX_26,TX快速26,up
TX_28,TX快速28,up
TX_30,TX快速30,up
TX_32,TX快速32,up
TX_34,TX快速34,up
TX_36,TX快速36,up
TX_38,TX快速38,up
TX_40,TX快速40,up
TX_42,TX快速42,up
TX_44,TX快速44,up
TX_46,TX快速46,up
TX_48,TX快速48,up
TX_50,TX快速50,up
TX_52,TX快速52,up
TX_54,TX快速54,up
TX_56,TX快速56,up
TX_58,TX快速58,up
TX_60,TX快速60,up
TX_62,TX快速62,up
TX_64,TX快速64,up
TX_66,TX快速66,up
