train_id,name,direction
UWAKAI_1,宇和海1号,down
UWAKAI_3,宇和海3号,down
UWAKAI_5,宇和海5号,down
UWAKAI_7,宇和海7号,down
UWAKAI_9,宇和海9号,down
UWAKAI_11,宇和海11号,down
UWAKAI_13,宇和海13号,down
UWAKAI_15,宇和海15号,down
UWAKAI_17,宇和海17号,down
UWAKAI_19,宇和海19号,down
UWAKAI_21,宇和海21号,down
UWAKAI_23,宇和海23号,down
UWAKAI_25,宇和海25号,down
UWAKAI_27,宇和海27号,down
UWAKAI_29,宇和海29号,down
UWAKAI_31,宇和海31号,down
UWAKAI_33,宇和海33号,down
UWAKAI_35,宇和海35号,down
UWAKAI_37,宇和海37号,down
UWAKAI_39,宇和海39号,down
UWAKAI_41,宇和海41号,down
UWAKAI_43,宇和海43号,down
UWAKAI_45,宇和海45号,down
UWAKAI_47,宇和海47号,down
UWAKAI_49,宇和海49号,down
UWAKAI_51,宇和海51号,down
UWAKAI_53,宇和海53号,down
UWAKAI_55,宇和海55号,down
UWAKAI_57,宇和海57号,down
UWAKAI_59,宇和海59号,down
UWAKAI_61,宇和海61号,down
UWAKAI_63,宇和海63号,down
UWAKAI_2,宇和海2号,up
UWAKAI_4,宇和海4号,up
UWAKAI_6,宇和海6号,up
UWAKAI_8,宇和海8号,up
UWAKAI_10,宇和海10号,up
UWAKAI_12,宇和海12号,up
UWAKAI_14,宇和海14号,up
UWAKAI_16,宇和海16号,up
UWAKAI_18,宇和海18号,up
UWAKAI_20,宇和海20号,up
UWAKAI_22,宇和海22号,up
UWAKAI_24,宇和海24号,up
UWAKAI_26,宇和海26号,up
UWAKAI_28,宇和海28号,up
UWAKAI_30,宇和海30号,up
UWAKAI_32,宇和海32号,up
UWAKAI_34,宇和海34号,up
UWAKAI_36,宇和海36号,up
UWAKAI_38,宇和海38号,up
UWAKAI_40,宇和海40号,up
UWAKAI_42,宇和海42号,up
UWAKAI_44,宇和海44号,up
UWAKAI_46,宇和海46号,up
UWAKAI_48,宇和海48号,up
UWAKAI_50,宇和海50号,up
UWAKAI_52,宇和海52号,up
UWAKAI_54,宇和海54号,up
UWAKAI_56,宇和海56号,up
UWAKAI_58,宇和海58号,up
UWAKAI_60,宇和海60号,up
UWAKAI_62,宇和海62号,up
UWAKAI_64,宇和海64号,up
