train_id,stop_order,station_id,arrival,departure
UWAKAI_1,1,MATSUYAMA,,06:00
UWAKAI_1,2,UCHIKO,06:25,06:26
UWAKAI_1,3,IYO_OZU,06:35,06:36
UWAKAI_1,4,YAWATAHAMA,06:55,06:56
UWAKAI_1,5,UNOMACHI,07:10,07:11
UWAKAI_1,6,UWAJIMA,07:20,
UWAKAI_3,1,MATSUYAMA,,06:30
UWAKAI_3,2,UCHIKO,06:55,06:56
UWAKAI_3,3,IYO_OZU,07:05,07:06
UWAKAI_3,4,YAWATAHAMA,07:25,07:26
UWAKAI_3,5,UNOMACHI,07:40,07:41
UWAKAI_3,6,UWAJIMA,07:50,
UWAKAI_5,1,MATSUYAMA,,07:00
UWAKAI_5,2,UCHIKO,07:25,07:26
UWAKAI_5,3,IYO_OZU,07:35,07:36
UWAKAI_5,4,YAWATAHAMA,07:55,07:56
UWAKAI_5,5,UNOMACHI,08:10,08:11
UWAKAI_5,6,UWAJIMA,08:20,
UWAKAI_7,1,MATSUYAMA,,07:30
UWAKAI_7,2,UCHIKO,07:55,07:56
UWAKAI_7,3,IYO_OZU,08:05,08:06
UWAKAI_7,4,YAWATAHAMA,08:25,08:26
UWAKAI_7,5,UNOMACHI,08:40,08:41
UWAKAI_7,6,UWAJIMA,08:50,
UWAKAI_9,1,MATSUYAMA,,08:00
UWAKAI_9,2,UCHIKO,08:25,08:26
UWAKAI_9,3,IYO_OZU,08:35,08:36
UWAKAI_9,4,YAWATAHAMA,08:55,08:56
UWAKAI_9,5,UNOMACHI,09:10,09:11
UWAKAI_9,6,UWAJIMA,09:20,
UWAKAI_11,1,MATSUYAMA,,08:30
UWAKAI_11,2,UCHIKO,08:55,08:56
UWAKAI_11,3,IYO_OZU,09:05,09:06
UWAKAI_11,4,YAWATAHAMA,09:25,09:26
UWAKAI_11,5,UNOMACHI,09:40,09:41
UWAKAI_11,6,UWAJIMA,09:50,
UWAKAI_13,1,MATSUYAMA,,09:00
UWAKAI_13,2,UCHIKO,09:25,09:26
UWAKAI_13,3,IYO_OZU,09:35,09:36
UWAKAI_13,4,YAWATAHAMA,09:55,09:56
UWAKAI_13,5,UNOMACHI,10:10,10:11
UWAKAI_13,6,UWAJIMA,10:20,
UWAKAI_15,1,MATSUYAMA,,09:30
UWAKAI_15,2,UCHIKO,09:55,09:56
UWAKAI_15,3,IYO_OZU,10:05,10:06
UWAKAI_15,4,YAWATAHAMA,10:25,10:26
UWAKAI_15,5,UNOMACHI,10:40,10:41
UWAKAI_15,6,UWAJIMA,10:50,
UWAKAI_17,1,MATSUYAMA,,10:00
UWAKAI_17,2,UCHIKO,10:25,10:26
UWAKAI_17,3,IYO_OZU,10:35,10:36
UWAKAI_17,4,YAWATAHAMA,10:55,10:56
UWAKAI_17,5,UNOMACHI,11:10,11:11
UWAKAI_17,6,UWAJIMA,11:20,
UWAKAI_19,1,MATSUYAMA,,10:30
UWAKAI_19,2,UCHIKO,10:55,10:56
UWAKAI_19,3,IYO_OZU,11:05,11:06
UWAKAI_19,4,YAWATAHAMA,11:25,11:26
UWAKAI_19,5,UNOMACHI,11:40,11:41
UWAKAI_19,6,UWAJIMA,11:50,
UWAKAI_21,1,MATSUYAMA,,11:00
UWAKAI_21,2,UCHIKO,11:25,11:26
UWAKAI_21,3,IYO_OZU,11:35,11:36
UWAKAI_21,4,YAWATAHAMA,11:55,11:56
UWAKAI_21,5,UNOMACHI,12:10,12:11
UWAKAI_21,6,UWAJIMA,12:20,
UWAKAI_23,1,MATSUYAMA,,11:30
UWAKAI_23,2,UCHIKO,11:55,11:56
UWAKAI_23,3,IYO_OZU,12:05,12:06
UWAKAI_23,4,YAWATAHAMA,12:25,12:26
UWAKAI_23,5,UNOMACHI,12:40,12:41
UWAKAI_23,6,UWAJIMA,12:50,
UWAKAI_25,1,MATSUYAMA,,12:00
UWAKAI_25,2,UCHIKO,12:25,12:26
UWAKAI_25,3,IYO_OZU,12:35,12:36
UWAKAI_25,4,YAWATAHAMA,12:55,12:56
UWAKAI_25,5,UNOMACHI,13:10,13:11
UWAKAI_25,6,UWAJIMA,13:20,
UWAKAI_27,1,MATSUYAMA,,12:30
UWAKAI_27,2,UCHIKO,12:55,12:56
UWAKAI_27,3,IYO_OZU,13:05,13:06
UWAKAI_27,4,YAWATAHAMA,13:25,13:26
UWAKAI_27,5,UNOMACHI,13:40,13:41
UWAKAI_27,6,UWAJIMA,13:50,
UWAKAI_29,1,MATSUYAMA,,13:00
UWAKAI_29,2,UCHIKO,13:25,13:26
UWAKAI_29,3,IYO_OZU,13:35,13:36
UWAKAI_29,4,YAWATAHAMA,13:55,13:56
UWAKAI_29,5,UNOMACHI,14:10,14:11
UWAKAI_29,6,UWAJIMA,14:20,
UWAKAI_31,1,MATSUYAMA,,13:30
UWAKAI_31,2,UCHIKO,13:55,13:56
UWAKAI_31,3,IYO_OZU,14:05,14:06
UWAKAI_31,4,YAWATAHAMA,14:25,14:26
UWAKAI_31,5,UNOMACHI,14:40,14:41
UWAKAI_31,6,UWAJIMA,14:50,
UWAKAI_33,1,MATSUYAMA,,14:00
UWAKAI_33,2,UCHIKO,14:25,14:26
UWAKAI_33,3,IYO_OZU,14:35,14:36
UWAKAI_33,4,YAWATAHAMA,14:55,14:56
UWAKAI_33,5,UNOMACHI,15:10,15:11
UWAKAI_33,6,UWAJIMA,15:20,
UWAKAI_35,1,MATSUYAMA,,14:30
UWAKAI_35,2,UCHIKO,14:55,14:56
UWAKAI_35,3,IYO_OZU,15:05,15:06
UWAKAI_35,4,YAWATAHAMA,15:25,15:26
UWAKAI_35,5,UNOMACHI,15:40,15:41
UWAKAI_35,6,UWAJIMA,15:50,
UWAKAI_37,1,MATSUYAMA,,15:00
UWAKAI_37,2,UCHIKO,15:25,15:26
UWAKAI_37,3,IYO_OZU,15:35,15:36
UWAKAI_37,4,YAWATAHAMA,15:55,15:56
UWAKAI_37,5,UNOMACHI,16:10,16:11
UWAKAI_37,6,UWAJIMA,16:20,
UWAKAI_39,1,MATSUYAMA,,15:30
