train_id,stop_order,station_id,arrival,departure
UZUSHIO_1,1,OKAYAMA,,06:30
UZUSHIO_1,2,KOJIMA,06:48,06:49
UZUSHIO_1,3,UTAZU,06:58,06:59
UZUSHIO_1,4,TAKAMATSU,07:30,07:31
UZUSHIO_1,5,TOKUSHIMA,08:40,
UZUSHIO_3,1,OKAYAMA,,07:30
UZUSHIO_3,2,KOJIMA,07:48,07:49
UZUSHIO_3,3,UTAZU,07:58,07:59
UZUSHIO_3,4,TAKAMATSU,08:30,08:31
UZUSHIO_3,5,TOKUSHIMA,09:40,
UZUSHIO_5,1,OKAYAMA,,08:30
UZUSHIO_5,2,KOJIMA,08:48,08:49
UZUSHIO_5,3,UTAZU,08:58,08:59
UZUSHIO_5,4,TAKAMATSU,09:30,09:31
UZUSHIO_5,5,TOKUSHIMA,10:40,
UZUSHIO_7,1,OKAYAMA,,09:30
UZUSHIO_7,2,KOJIMA,09:48,09:49
UZUSHIO_7,3,UTAZU,09:58,09:59
UZUSHIO_7,4,TAKAMATSU,10:30,10:31
UZUSHIO_7,5,TOKUSHIMA,11:40,
UZUSHIO_9,1,OKAYAMA,,10:30
UZUSHIO_9,2,KOJIMA,10:48,10:49
UZUSHIO_9,3,UTAZU,10:58,10:59
UZUSHIO_9,4,TAKAMATSU,11:30,11:31
UZUSHIO_9,5,TOKUSHIMA,12:40,
UZUSHIO_11,1,OKAYAMA,,11:30
UZUSHIO_11,2,KOJIMA,11:48,11:49
UZUSHIO_11,3,UTAZU,11:58,11:59
UZUSHIO_11,4,TAKAMATSU,12:30,12:31
UZUSHIO_11,5,TOKUSHIMA,13:40,
UZUSHIO_13,1,OKAYAMA,,12:30
UZUSHIO_13,2,KOJIMA,12:48,12:49
UZUSHIO_13,3,UTAZU,12:58,12:59
UZUSHIO_13,4,TAKAMATSU,13:30,13:31
UZUSHIO_13,5,TOKUSHIMA,14:40,
UZUSHIO_15,1,OKAYAMA,,13:30
UZUSHIO_15,2,KOJIMA,13:48,13:49
UZUSHIO_15,3,UTAZU,13:58,13:59
UZUSHIO_15,4,TAKAMATSU,14:30,14:31
UZUSHIO_15,5,TOKUSHIMA,15:40,
UZUSHIO_17,1,OKAYAMA,,14:30
UZUSHIO_17,2,KOJIMA,14:48,14:49
UZUSHIO_17,3,UTAZU,14:58,14:59
UZUSHIO_17,4,TAKAMATSU,15:30,15:31
UZUSHIO_17,5,TOKUSHIMA,16:40,
UZUSHIO_19,1,OKAYAMA,,15:30
UZUSHIO_19,2,KOJIMA,15:48,15:49
UZUSHIO_19,3,UTAZU,15:58,15:59
UZUSHIO_19,4,TAKAMATSU,16:30,16:31
UZUSHIO_19,5,TOKUSHIMA,17:40,
UZUSHIO_21,1,OKAYAMA,,16:30
UZUSHIO_21,2,KOJIMA,16:48,16:49
UZUSHIO_21,3,UTAZU,16:58,16:59
UZUSHIO_21,4,TAKAMATSU,17:30,17:31
UZUSHIO_21,5,TOKUSHIMA,18:40,
UZUSHIO_23,1,OKAYAMA,,17:30
UZUSHIO_23,2,KOJIMA,17:48,17:49
UZUSHIO_23,3,UTAZU,17:58,17:59
UZUSHIO_23,4,TAKAMATSU,18:30,18:31
UZUSHIO_23,5,TOKUSHIMA,19:40,
UZUSHIO_25,1,OKAYAMA,,18:30
UZUSHIO_25,2,KOJIMA,18:48,18:49
UZUSHIO_25,3,UTAZU,18:58,18:59
UZUSHIO_25,4,TAKAMATSU,19:30,19:31
UZUSHIO_25,5,TOKUSHIMA,20:40,
UZUSHIO_27,1,OKAYAMA,,19:30
UZUSHIO_27,2,KOJIMA,19:48,19:49
UZUSHIO_27,3,UTAZU,19:58,19:59
UZUSHIO_27,4,TAKAMATSU,20:30,20:31
UZUSHIO_27,5,TOKUSHIMA,21:40,
UZUSHIO_29,1,OKAYAMA,,20:30
UZUSHIO_29,2,KOJIMA,20:48,20:49
UZUSHIO_29,3,UTAZU,20:58,20:59
UZUSHIO_29,4,TAKAMATSU,21:30,21:31
UZUSHIO_29,5,TOKUSHIMA,22:40,
UZUSHIO_31,1,OKAYAMA,,21:30
UZUSHIO_31,2,KOJIMA,21:48,21:49
UZUSHIO_31,3,UTAZU,21:58,21:59
UZUSHIO_31,4,TAKAMATSU,22:30,22:31
UZUSHIO_31,5,TOKUSHIMA,23:40,
UZUSHIO_2,1,TOKUSHIMA,,06:00
UZUSHIO_2,2,TAKAMATSU,07:09,07:10
UZUSHIO_2,3,UTAZU,07:41,07:42
UZUSHIO_2,4,KOJIMA,07:51,07:52
UZUSHIO_2,5,OKAYAMA,08:10,
UZUSHIO_4,1,TOKUSHIMA,,07:00
UZUSHIO_4,2,TAKAMATSU,08:09,08:10
UZUSHIO_4,3,UTAZU,08:41,08:42
UZUSHIO_4,4,KOJIMA,08:51,08:52
UZUSHIO_4,5,OKAYAMA,09:10,
UZUSHIO_6,1,TOKUSHIMA,,08:00
UZUSHIO_6,2,TAKAMATSU,09:09,09:10
UZUSHIO_6,3,UTAZU,09:41,09:42
UZUSHIO_6,4,KOJIMA,09:51,09:52
UZUSHIO_6,5,OKAYAMA,10:10,
UZUSHIO_8,1,TOKUSHIMA,,09:00
UZUSHIO_8,2,TAKAMATSU,10:09,10:10
UZUSHIO_8,3,UTAZU,10:41,10:42
UZUSHIO_8,4,KOJIMA,10:51,10:52
