train_id,name,direction
UZUSHIO_1,うずしお1,down
UZUSHIO_3,うずしお3,down
UZUSHIO_5,うずしお5,down
UZUSHIO_7,うずしお7,down
UZUSHIO_9,うずしお9,down
UZUSHIO_11,うずしお11,down
UZUSHIO_13,うずしお13,down
UZUSHIO_15,うずしお15,down
UZUSHIO_17,うずしお17,down
UZUSHIO_19,うずしお19,down
UZUSHIO_21,うずしお21,down
UZUSHIO_23,うずしお23,down
UZUSHIO_25,うずしお25,down
UZUSHIO_27,うずしお27,down
UZUSHIO_29,うずしお29,down
UZUSHIO_31,うずしお31,down
UZUSHIO_2,うずしお2,up
UZUSHIO_4,うずしお4,up
UZUSHIO_6,うずしお6,up
UZUSHIO_8,うずしお8,up
UZUSHIO_10,うずしお10,up
UZUSHIO_12,うずしお12,up
UZUSHIO_14,うずしお14,up
UZUSHIO_16,うずしお16,up
UZUSHIO_18,うずしお18,up
UZUSHIO_20,うずしお20,up
UZUSHIO_22,うずしお22,up
UZUSHIO_24,うずしお24,up
UZUSHIO_26,うずしお26,up
UZUSHIO_28,うずしお28,up
UZUSHIO_30,うずしお30,up
UZUSHIO_32,うずしお32,up
