train_id,stop_order,station_id,arrival,departure
UZ_1,1,OKAYAMA,,07:00
UZ_1,2,KOJIMA,07:22,07:23
UZ_1,3,UTAZU,07:35,07:36
UZ_1,4,TAKAMATSU,07:55,07:57
UZ_1,5,TOKUSHIMA,09:00,
UZ_3,1,OKAYAMA,,09:00
UZ_3,2,KOJIMA,09:22,09:23
UZ_3,3,UTAZU,09:35,09:36
UZ_3,4,TAKAMATSU,09:55,09:57
UZ_3,5,TOKUSHIMA,11:00,
UZ_5,1,OKAYAMA,,11:00
UZ_5,2,KOJIMA,11:22,11:23
UZ_5,3,UTAZU,11:35,11:36
UZ_5,4,TAKAMATSU,11:55,11:57
UZ_5,5,TOKUSHIMA,13:00,
UZ_7,1,OKAYAMA,,13:00
UZ_7,2,KOJIMA,13:22,13:23
UZ_7,3,UTAZU,13:35,13:36
UZ_7,4,TAKAMATSU,13:55,13:57
UZ_7,5,TOKUSHIMA,15:00,
UZ_9,1,OKAYAMA,,15:00
UZ_9,2,KOJIMA,15:22,15:23
UZ_9,3,UTAZU,15:35,15:36
UZ_9,4,TAKAMATSU,15:55,15:57
UZ_9,5,TOKUSHIMA,17:00,
UZ_11,1,OKAYAMA,,17:00
UZ_11,2,KOJIMA,17:22,17:23
UZ_11,3,UTAZU,17:35,17:36
UZ_11,4,TAKAMATSU,17:55,17:57
UZ_11,5,TOKUSHIMA,19:00,
UZ_13,1,OKAYAMA,,19:00
UZ_13,2,KOJIMA,19:22,19:23
UZ_13,3,UTAZU,19:35,19:36
UZ_13,4,TAKAMATSU,19:55,19:57
UZ_13,5,TOKUSHIMA,21:00,
UZ_15,1,OKAYAMA,,20:30
UZ_15,2,KOJIMA,20:52,20:53
UZ_15,3,UTAZU,21:05,21:06
UZ_15,4,TAKAMATSU,21:25,21:27
UZ_15,5,TOKUSHIMA,22:30,
UZ_2,1,TOKUSHIMA,,06:30
UZ_2,2,TAKAMATSU,07:33,07:35
UZ_2,3,UTAZU,07:54,07:55
UZ_2,4,KOJIMA,08:07,08:08
UZ_2,5,OKAYAMA,08:30,
UZ_4,1,TOKUSHIMA,,08:00
UZ_4,2,TAKAMATSU,09:03,09:05
UZ_4,3,UTAZU,09:24,09:25
UZ_4,4,KOJIMA,09:37,09:38
UZ_4,5,OKAYAMA,10:00,
UZ_6,1,TOKUSHIMA,,10:00
UZ_6,2,TAKAMATSU,11:03,11:05
UZ_6,3,UTAZU,11:24,11:25
UZ_6,4,KOJIMA,11:37,11:38
UZ_6,5,OKAYAMA,12:00,
UZ_8,1,TOKUSHIMA,,12:00
UZ_8,2,TAKAMATSU,13:03,13:05
UZ_8,3,UTAZU,13:24,13:25
UZ_8,4,KOJIMA,13:37,13:38
UZ_8,5,OKAYAMA,14:00,
UZ_10,1,TOKUSHIMA,,14:00
UZ_10,2,TAKAMATSU,15:03,15:05
UZ_10,3,UTAZU,15:24,15:25
UZ_10,4,KOJIMA,15:37,15:38
UZ_10,5,OKAYAMA,16:00,
UZ_12,1,TOKUSHIMA,,16:00
UZ_12,2,TAKAMATSU,17:03,17:05
UZ_12,3,UTAZU,17:24,17:25
UZ_12,4,KOJIMA,17:37,17:38
UZ_12,5,OKAYAMA,18:00,
UZ_14,1,TOKUSHIMA,,18:00
UZ_14,2,TAKAMATSU,19:03,19:05
UZ_14,3,UTAZU,19:24,19:25
UZ_14,4,KOJIMA,19:37,19:38
UZ_14,5,OKAYAMA,20:00,
UZ_16,1,TOKUSHIMA,,20:00
UZ_16,2,TAKAMATSU,21:03,21:05
UZ_16,3,UTAZU,21:24,21:25
UZ_16,4,KOJIMA,21:37,21:38
UZ_16,5,OKAYAMA,22:00,
