train_id,stop_order,station_id,arrival,departure
WAKASHIO_1,1,TOKYO,,08:50
WAKASHIO_1,2,SOGA,09:30,09:31
WAKASHIO_1,3,OAMI,09:45,09:46
WAKASHIO_1,4,MOBARA,09:55,09:56
WAKASHIO_1,5,OHARA,10:18,10:19
WAKASHIO_1,6,KATSUURA,10:35,10:36
WAKASHIO_1,7,AWA_KAMOGAWA,11:00,
WAKASHIO_3,1,TOKYO,,09:50
WAKASHIO_3,2,SOGA,10:30,10:31
WAKASHIO_3,3,OAMI,10:45,10:46
WAKASHIO_3,4,MOBARA,10:55,10:56
WAKASHIO_3,5,OHARA,11:18,11:19
WAKASHIO_3,6,KATSUURA,11:35,11:36
WAKASHIO_3,7,AWA_KAMOGAWA,12:00,
WAKASHIO_5,1,TOKYO,,10:50
WAKASHIO_5,2,SOGA,11:30,11:31
WAKASHIO_5,3,OAMI,11:45,11:46
WAKASHIO_5,4,MOBARA,11:55,11:56
WAKASHIO_5,5,OHARA,12:18,12:19
WAKASHIO_5,6,KATSUURA,12:35,12:36
WAKASHIO_5,7,AWA_KAMOGAWA,13:00,
WAKASHIO_7,1,TOKYO,,11:50
WAKASHIO_7,2,SOGA,12:30,12:31
WAKASHIO_7,3,OAMI,12:45,12:46
WAKASHIO_7,4,MOBARA,12:55,12:56
WAKASHIO_7,5,OHARA,13:18,13:19
WAKASHIO_7,6,KATSUURA,13:35,13:36
WAKASHIO_7,7,AWA_KAMOGAWA,14:00,
WAKASHIO_9,1,TOKYO,,13:50
WAKASHIO_9,2,SOGA,14:30,14:31
WAKASHIO_9,3,OAMI,14:45,14:46
WAKASHIO_9,4,MOBARA,14:55,14:56
WAKASHIO_9,5,OHARA,15:18,15:19
WAKASHIO_9,6,KATSUURA,15:35,15:36
WAKASHIO_9,7,AWA_KAMOGAWA,16:00,
WAKASHIO_11,1,TOKYO,,15:50
WAKASHIO_11,2,SOGA,16:30,16:31
WAKASHIO_11,3,OAMI,16:45,16:46
WAKASHIO_11,4,MOBARA,16:55,16:56
WAKASHIO_11,5,OHARA,17:18,17:19
WAKASHIO_11,6,KATSUURA,17:35,17:36
WAKASHIO_11,7,AWA_KAMOGAWA,18:00,
WAKASHIO_13,1,TOKYO,,17:50
WAKASHIO_13,2,SOGA,18:30,18:31
WAKASHIO_13,3,OAMI,18:45,18:46
WAKASHIO_13,4,MOBARA,18:55,18:56
WAKASHIO_13,5,OHARA,19:18,19:19
WAKASHIO_13,6,KATSUURA,19:35,19:36
WAKASHIO_13,7,AWA_KAMOGAWA,20:00,
WAKASHIO_15,1,TOKYO,,18:50
WAKASHIO_15,2,SOGA,19:30,19:31
WAKASHIO_15,3,OAMI,19:45,19:46
WAKASHIO_15,4,MOBARA,19:55,19:56
WAKASHIO_15,5,OHARA,20:18,20:19
WAKASHIO_15,6,KATSUURA,20:35,20:36
WAKASHIO_15,7,AWA_KAMOGAWA,21:00,
WAKASHIO_2,1,AWA_KAMOGAWA,,07:09
WAKASHIO_2,2,KATSUURA,07:33,07:34
WAKASHIO_2,3,OHARA,07:50,07:51
WAKASHIO_2,4,MOBARA,08:13,08:14
WAKASHIO_2,5,OAMI,08:23,08:24
