train_id,stop_order,station_id,arrival,departure
WK_1,1,TOKYO,,07:00
WK_1,2,SOGA,07:35,07:37
WK_1,3,OAMI,07:50,07:51
WK_1,4,MOBARA,08:00,08:01
WK_1,5,OHARA,08:25,08:26
WK_1,6,KATSUURA,08:35,08:36
WK_1,7,AWA_KAMOGAWA,09:00,
WK_3,1,TOKYO,,08:30
WK_3,2,SOGA,09:05,09:07
WK_3,3,OAMI,09:20,09:21
WK_3,4,MOBARA,09:30,09:31
WK_3,5,OHARA,09:55,09:56
WK_3,6,KATSUURA,10:05,10:06
WK_3,7,AWA_KAMOGAWA,10:30,
WK_5,1,TOKYO,,10:00
WK_5,2,SOGA,10:35,10:37
WK_5,3,OAMI,10:50,10:51
WK_5,4,MOBARA,11:00,11:01
WK_5,5,OHARA,11:25,11:26
WK_5,6,KATSUURA,11:35,11:36
WK_5,7,AWA_KAMOGAWA,12:00,
WK_7,1,TOKYO,,11:30
WK_7,2,SOGA,12:05,12:07
WK_7,3,OAMI,12:20,12:21
WK_7,4,MOBARA,12:30,12:31
WK_7,5,OHARA,12:55,12:56
WK_7,6,KATSUURA,13:05,13:06
WK_7,7,AWA_KAMOGAWA,13:30,
WK_9,1,TOKYO,,13:00
WK_9,2,SOGA,13:35,13:37
WK_9,3,OAMI,13:50,13:51
WK_9,4,MOBARA,14:00,14:01
WK_9,5,OHARA,14:25,14:26
WK_9,6,KATSUURA,14:35,14:36
WK_9,7,AWA_KAMOGAWA,15:00,
WK_11,1,TOKYO,,15:00
WK_11,2,SOGA,15:35,15:37
WK_11,3,OAMI,15:50,15:51
WK_11,4,MOBARA,16:00,16:01
WK_11,5,OHARA,16:25,16:26
WK_11,6,KATSUURA,16:35,16:36
WK_11,7,AWA_KAMOGAWA,17:00,
WK_13,1,TOKYO,,17:00
WK_13,2,SOGA,17:35,17:37
WK_13,3,OAMI,17:50,17:51
WK_13,4,MOBARA,18:00,18:01
WK_13,5,OHARA,18:25,18:26
WK_13,6,KATSUURA,18:35,18:36
WK_13,7,AWA_KAMOGAWA,19:00,
WK_15,1,TOKYO,,19:00
WK_15,2,SOGA,19:35,19:37
WK_15,3,OAMI,19:50,19:51
WK_15,4,MOBARA,20:00,20:01
WK_15,5,OHARA,20:25,20:26
WK_15,6,KATSUURA,20:35,20:36
WK_15,7,AWA_KAMOGAWA,21:00,
WK_2,1,AWA_KAMOGAWA,,06:30
WK_2,2,KATSUURA,06:54,06:55
WK_2,3,OHARA,07:04,07:05
WK_2,4,MOBARA,07:29,07:30
WK_2,5,OAMI,07:39,07:40
WK_2,6,SOGA,07:53,07:55
WK_2,7,TOKYO,08:30,
WK_4,1,AWA_KAMOGAWA,,08:00
WK_4,2,KATSUURA,08:24,08:25
WK_4,3,OHARA,08:34,08:35
WK_4,4,MOBARA,08:59,09:00
WK_4,5,OAMI,09:09,09:10
WK_4,6,SOGA,09:23,09:25
WK_4,7,TOKYO,10:00,
WK_6,1,AWA_KAMOGAWA,,09:30
WK_6,2,KATSUURA,09:54,09:55
WK_6,3,OHARA,10:04,10:05
WK_6,4,MOBARA,10:29,10:30
WK_6,5,OAMI,10:39,10:40
WK_6,6,SOGA,10:53,10:55
WK_6,7,TOKYO,11:30,
WK_8,1,AWA_KAMOGAWA,,11:00
WK_8,2,KATSUURA,11:24,11:25
WK_8,3,OHARA,11:34,11:35
WK_8,4,MOBARA,11:59,12:00
WK_8,5,OAMI,12:09,12:10
WK_8,6,SOGA,12:23,12:25
WK_8,7,TOKYO,13:00,
WK_10,1,AWA_KAMOGAWA,,12:30
WK_10,2,KATSUURA,12:54,12:55
WK_10,3,OHARA,13:04,13:05
WK_10,4,MOBARA,13:29,13:30
WK_10,5,OAMI,13:39,13:40
WK_10,6,SOGA,13:53,13:55
WK_10,7,TOKYO,14:30,
WK_12,1,AWA_KAMOGAWA,,14:30
WK_12,2,KATSUURA,14:54,14:55
WK_12,3,OHARA,15:04,15:05
WK_12,4,MOBARA,15:29,15:30
WK_12,5,OAMI,15:39,15:40
WK_12,6,SOGA,15:53,15:55
WK_12,7,TOKYO,16:30,
WK_14,1,AWA_KAMOGAWA,,16:30
WK_14,2,KATSUURA,16:54,16:55
WK_14,3,OHARA,17:04,17:05
WK_14,4,MOBARA,17:29,17:30
WK_14,5,OAMI,17:39,17:40
WK_14,6,SOGA,17:53,17:55
WK_14,7,TOKYO,18:30,
WK_16,1,AWA_KAMOGAWA,,18:30
WK_16,2,KATSUURA,18:54,18:55
WK_16,3,OHARA,19:04,19:05
WK_16,4,MOBARA,19:29,19:30
WK_16,5,OAMI,19:39,19:40
WK_16,6,SOGA,19:53,19:55
WK_16,7,TOKYO,20:30,
