train_id,stop_order,station_id,arrival,departure
YAKUMO_1,1,OKAYAMA,,06:05
YAKUMO_1,2,KURASHIKI,06:19,06:20
YAKUMO_1,3,BITCHU_TAKAHASHI,06:38,06:39
YAKUMO_1,4,NIIMI,07:16,07:18
YAKUMO_1,5,YONAGO,08:21,08:23
YAKUMO_1,6,MATSUE,08:47,08:49
YAKUMO_1,7,IZUMOSHI,09:09,
YAKUMO_3,1,OKAYAMA,,07:05
YAKUMO_3,2,KURASHIKI,07:19,07:20
YAKUMO_3,3,BITCHU_TAKAHASHI,07:38,07:39
YAKUMO_3,4,NIIMI,08:16,08:18
YAKUMO_3,5,YONAGO,09:21,09:23
YAKUMO_3,6,MATSUE,09:47,09:49
YAKUMO_3,7,IZUMOSHI,10:09,
YAKUMO_5,1,OKAYAMA,,08:05
YAKUMO_5,2,KURASHIKI,08:19,08:20
YAKUMO_5,3,BITCHU_TAKAHASHI,08:38,08:39
YAKUMO_5,4,NIIMI,09:16,09:18
YAKUMO_5,5,YONAGO,10:21,10:23
YAKUMO_5,6,MATSUE,10:47,10:49
YAKUMO_5,7,IZUMOSHI,11:09,
YAKUMO_7,1,OKAYAMA,,09:05
YAKUMO_7,2,KURASHIKI,09:19,09:20
YAKUMO_7,3,BITCHU_TAKAHASHI,09:38,09:39
YAKUMO_7,4,NIIMI,10:16,10:18
YAKUMO_7,5,YONAGO,11:21,11:23
YAKUMO_7,6,MATSUE,11:47,11:49
YAKUMO_7,7,IZUMOSHI,12:09,
YAKUMO_9,1,OKAYAMA,,10:05
YAKUMO_9,2,KURASHIKI,10:19,10:20
YAKUMO_9,3,BITCHU_TAKAHASHI,10:38,10:39
YAKUMO_9,4,NIIMI,11:16,11:18
YAKUMO_9,5,YONAGO,12:21,12:23
YAKUMO_9,6,MATSUE,12:47,12:49
YAKUMO_9,7,IZUMOSHI,13:09,
YAKUMO_11,1,OKAYAMA,,11:05
YAKUMO_11,2,KURASHIKI,11:19,11:20
YAKUMO_11,3,BITCHU_TAKAHASHI,11:38,11:39
YAKUMO_11,4,NIIMI,12:16,12:18
YAKUMO_11,5,YONAGO,13:21,13:23
YAKUMO_11,6,MATSUE,13:47,13:49
YAKUMO_11,7,IZUMOSHI,14:09,
YAKUMO_13,1,OKAYAMA,,12:05
YAKUMO_13,2,KURASHIKI,12:19,12:20
YAKUMO_13,3,BITCHU_TAKAHASHI,12:38,12:39
YAKUMO_13,4,NIIMI,13:16,13:18
YAKUMO_13,5,YONAGO,14:21,14:23
YAKUMO_13,6,MATSUE,14:47,14:49
YAKUMO_13,7,IZUMOSHI,15:09,
YAKUMO_15,1,OKAYAMA,,13:05
YAKUMO_15,2,KURASHIKI,13:19,13:20
YAKUMO_15,3,BITCHU_TAKAHASHI,13:38,13:39
YAKUMO_15,4,NIIMI,14:16,14:18
YAKUMO_15,5,YONAGO,15:21,15:23
YAKUMO_15,6,MATSUE,15:47,15:49
YAKUMO_15,7,IZUMOSHI,16:09,
YAKUMO_17,1,OKAYAMA,,14:05
YAKUMO_17,2,KURASHIKI,14:19,14:20
YAKUMO_17,3,BITCHU_TAKAHASHI,14:38,14:39
YAKUMO_17,4,NIIMI,15:16,15:18
YAKUMO_17,5,YONAGO,16:21,16:23
YAKUMO_17,6,MATSUE,16:47,16:49
YAKUMO_17,7,IZUMOSHI,17:09,
YAKUMO_19,1,OKAYAMA,,15:05
YAKUMO_19,2,KURASHIKI,15:19,15:20
YAKUMO_19,3,BITCHU_TAKAHASHI,15:38,15:39
YAKUMO_19,4,NIIMI,16:16,16:18
YAKUMO_19,5,YONAGO,17:21,17:23
YAKUMO_19,6,MATSUE,17:47,17:49
