train_id,name,direction
YAKUMO_1,やくも1,down
YAKUMO_3,やくも3,down
YAKUMO_5,やくも5,down
YAKUMO_7,やくも7,down
YAKUMO_9,やくも9,down
YAKUMO_11,やくも11,down
YAKUMO_13,やくも13,down
YAKUMO_15,やくも15,down
YAKUMO_17,やくも17,down
YAKUMO_19,やくも19,down
YAKUMO_21,やくも21,down
YAKUMO_23,やくも23,down
YAKUMO_25,やくも25,down
YAKUMO_2,やくも2,up
YAKUMO_4,やくも4,up
YAKUMO_6,やくも6,up
YAKUMO_8,やくも8,up
YAKUMO_10,やくも10,up
YAKUMO_12,やくも12,up
YAKUMO_14,やくも14,up
YAKUMO_16,やくも16,up
YAKUMO_18,やくも18,up
YAKUMO_20,やくも20,up
YAKUMO_22,やくも22,up
YAKUMO_24,やくも24,up
YAKUMO_26,やくも26,up
