train_id,stop_order,station_id,arrival,departure
YAKUMO_1,1,OKAYAMA,,07:00
YAKUMO_1,2,KURASHIKI,07:17,07:18
YAKUMO_1,3,BITCHU_TAKAHASHI,07:47,07:48
YAKUMO_1,4,NIIMI,08:13,08:14
YAKUMO_1,5,YONAGO,09:10,09:11
YAKUMO_1,6,MATSUE,09:40,09:41
YAKUMO_1,7,IZUMOSHI,10:00,
YAKUMO_3,1,OKAYAMA,,08:00
YAKUMO_3,2,KURASHIKI,08:17,08:18
YAKUMO_3,3,BITCHU_TAKAHASHI,08:47,08:48
YAKUMO_3,4,NIIMI,09:13,09:14
YAKUMO_3,5,YONAGO,10:10,10:11
YAKUMO_3,6,MATSUE,10:40,10:41
YAKUMO_3,7,IZUMOSHI,11:00,
YAKUMO_5,1,OKAYAMA,,09:00
YAKUMO_5,2,KURASHIKI,09:17,09:18
YAKUMO_5,3,BITCHU_TAKAHASHI,09:47,09:48
YAKUMO_5,4,NIIMI,10:13,10:14
YAKUMO_5,5,YONAGO,11:10,11:11
YAKUMO_5,6,MATSUE,11:40,11:41
YAKUMO_5,7,IZUMOSHI,12:00,
YAKUMO_7,1,OKAYAMA,,10:00
YAKUMO_7,2,KURASHIKI,10:17,10:18
YAKUMO_7,3,BITCHU_TAKAHASHI,10:47,10:48
YAKUMO_7,4,NIIMI,11:13,11:14
YAKUMO_7,5,YONAGO,12:10,12:11
YAKUMO_7,6,MATSUE,12:40,12:41
YAKUMO_7,7,IZUMOSHI,13:00,
YAKUMO_9,1,OKAYAMA,,11:00
YAKUMO_9,2,KURASHIKI,11:17,11:18
YAKUMO_9,3,BITCHU_TAKAHASHI,11:47,11:48
YAKUMO_9,4,NIIMI,12:13,12:14
YAKUMO_9,5,YONAGO,13:10,13:11
YAKUMO_9,6,MATSUE,13:40,13:41
YAKUMO_9,7,IZUMOSHI,14:00,
YAKUMO_11,1,OKAYAMA,,12:00
YAKUMO_11,2,KURASHIKI,12:17,12:18
YAKUMO_11,3,BITCHU_TAKAHASHI,12:47,12:48
YAKUMO_11,4,NIIMI,13:13,13:14
YAKUMO_11,5,YONAGO,14:10,14:11
YAKUMO_11,6,MATSUE,14:40,14:41
YAKUMO_11,7,IZUMOSHI,15:00,
YAKUMO_13,1,OKAYAMA,,13:00
YAKUMO_13,2,KURASHIKI,13:17,13:18
YAKUMO_13,3,BITCHU_TAKAHASHI,13:47,13:48
