train_id,stop_order,station_id,arrival,departure
YUFU_1,1,HAKATA,,08:00
YUFU_1,2,KURUME,08:35,08:36
YUFU_1,3,HITA,09:18,09:19
YUFU_1,4,YUFUIN,10:18,10:19
YUFU_1,5,OITA,11:05,11:06
YUFU_1,6,BEPPU,11:20,
YUFU_3,1,HAKATA,,11:00
YUFU_3,2,KURUME,11:35,11:36
YUFU_3,3,HITA,12:18,12:19
YUFU_3,4,YUFUIN,13:18,13:19
YUFU_3,5,OITA,14:05,14:06
YUFU_3,6,BEPPU,14:20,
YUFU_5,1,HAKATA,,17:00
YUFU_5,2,KURUME,17:35,17:36
YUFU_5,3,HITA,18:18,18:19
YUFU_5,4,YUFUIN,19:18,19:19
YUFU_5,5,OITA,20:05,20:06
YUFU_5,6,BEPPU,20:20,
YUFU_2,1,BEPPU,,10:00
YUFU_2,2,OITA,10:14,10:15
YUFU_2,3,YUFUIN,11:01,11:02
YUFU_2,4,HITA,12:01,12:02
YUFU_2,5,KURUME,12:44,12:45
YUFU_2,6,HAKATA,13:20,
YUFU_4,1,BEPPU,,13:00
YUFU_4,2,OITA,13:14,13:15
YUFU_4,3,YUFUIN,14:01,14:02
YUFU_4,4,HITA,15:01,15:02
YUFU_4,5,KURUME,15:44,15:45
YUFU_4,6,HAKATA,16:20,
YUFU_6,1,BEPPU,,19:00
YUFU_6,2,OITA,19:14,19:15
YUFU_6,3,YUFUIN,20:01,20:02
YUFU_6,4,HITA,21:01,21:02
YUFU_6,5,KURUME,21:44,21:45
YUFU_6,6,HAKATA,22:20,
