train_id,stop_order,station_id,arrival,departure
YUFUIN_FOREST_1,1,HAKATA,,09:00
YUFUIN_FOREST_1,2,KURUME,09:35,09:36
YUFUIN_FOREST_1,3,HITA,10:15,10:16
YUFUIN_FOREST_1,4,YUFUIN,11:10,11:12
YUFUIN_FOREST_1,5,OITA,11:55,11:57
YUFUIN_FOREST_1,6,BEPPU,12:10,
YUFUIN_FOREST_3,1,HAKATA,,12:30
YUFUIN_FOREST_3,2,KURUME,13:05,13:06
YUFUIN_FOREST_3,3,HITA,13:45,13:46
YUFUIN_FOREST_3,4,YUFUIN,14:40,14:42
YUFUIN_FOREST_3,5,OITA,15:25,15:27
YUFUIN_FOREST_3,6,BEPPU,15:40,
YUFUIN_FOREST_5,1,HAKATA,,15:30
YUFUIN_FOREST_5,2,KURUME,16:05,16:06
YUFUIN_FOREST_5,3,HITA,16:45,16:46
YUFUIN_FOREST_5,4,YUFUIN,17:40,17:42
YUFUIN_FOREST_5,5,OITA,18:25,18:27
YUFUIN_FOREST_5,6,BEPPU,18:40,
YUFUIN_FOREST_2,1,BEPPU,,11:00
YUFUIN_FOREST_2,2,OITA,11:13,11:15
YUFUIN_FOREST_2,3,YUFUIN,11:58,12:00
YUFUIN_FOREST_2,4,HITA,12:54,12:55
YUFUIN_FOREST_2,5,KURUME,13:34,13:35
YUFUIN_FOREST_2,6,HAKATA,14:10,
YUFUIN_FOREST_4,1,BEPPU,,14:30
YUFUIN_FOREST_4,2,OITA,14:43,14:45
YUFUIN_FOREST_4,3,YUFUIN,15:28,15:30
YUFUIN_FOREST_4,4,HITA,16:24,16:25
YUFUIN_FOREST_4,5,KURUME,17:04,17:05
YUFUIN_FOREST_4,6,HAKATA,17:40,
YUFUIN_FOREST_6,1,BEPPU,,18:00
YUFUIN_FOREST_6,2,OITA,18:13,18:15
YUFUIN_FOREST_6,3,YUFUIN,18:58,19:00
YUFUIN_FOREST_6,4,HITA,19:54,19:55
YUFUIN_FOREST_6,5,KURUME,20:34,20:35
YUFUIN_FOREST_6,6,HAKATA,21:10,
